,power
1569283200,983
1569284100,977
1569285000,980
1569285900,973
1569286800,999
1569287700,1013
1569288600,1020
1569289500,973
1569290400,972
1569291300,973
1569292200,1010
1569293100,983
1569294000,963
1569294900,967
1569295800,989
1569296700,953
1569297600,1011
1569298500,1042
1569299400,1105
1569300300,1034
1569301200,1160
1569302100,1104
1569303000,1184
1569303900,1010
1569304800,1033
1569305700,1049
1569306600,1051
1569307500,1029
1569308400,1014
1569309300,995
1569310200,1141
1569311100,1095
1569312000,1037
1569312900,1022
1569313800,1067
1569314700,1059
1569315600,1539
1569316500,1769
1569317400,1138
1569318300,1051
1569319200,1121
1569320100,1029
1569321000,1119
1569321900,1687
1569322800,1489
1569323700,1571
1569324600,1299
1569325500,1833
1569326400,1877
1569327300,1647
1569328200,1188
1569329100,1086
1569330000,1117
1569330900,1232
1569331800,1265
1569332700,1676
1569333600,1866
1569334500,1426
1569335400,1089
1569336300,1314
1569337200,1386
1569338100,1360
1569339000,1364
1569339900,1653
1569340800,1549
1569341700,1726
1569342600,1592
1569343500,1468
1569344400,1397
1569345300,1490
1569346200,1374
1569347100,1408
1569348000,1415
1569348900,1445
1569349800,1459
1569350700,1550
1569351600,1501
1569352500,1545
1569353400,1370
1569354300,1307
1569355200,1208
1569356100,1157
1569357000,1162
1569357900,1178
1569358800,1185
1569359700,1200
1569360600,1180
1569361500,1210
1569362400,1201
1569363300,1177
1569364200,1146
1569365100,1176
1569366000,1161
1569366900,1149
1569367800,1176
1569368700,1152
1569369600,1140
1569370500,1126
1569371400,1124
1569372300,1161
1569373200,1170
1569374100,1155
1569375000,1154
1569375900,1158
1569376800,1222
1569377700,1181
1569378600,1146
1569379500,1184
1569380400,1184
1569381300,1171
1569382200,1194
1569383100,1266
1569384000,1254
1569384900,1223
1569385800,1212
1569386700,1263
1569387600,1222
1569388500,1282
1569389400,1240
1569390300,1187
1569391200,1261
1569392100,1938
1569393000,1731
1569393900,1645
1569394800,1437
1569395700,1336
1569396600,1536
1569397500,1300
1569398400,1866
1569399300,1696
1569400200,1371
1569401100,1353
1569402000,1312
1569402900,1609
1569403800,1348
1569404700,1233
1569405600,1254
1569406500,1261
1569407400,1401
1569408300,1311
1569409200,1316
1569410100,1353
1569411000,1960
1569411900,1549
1569412800,1770
1569413700,1427
1569414600,1334
1569415500,1534
1569416400,1412
1569417300,1775
1569418200,1529
1569419100,1857
1569420000,1358
1569420900,1500
1569421800,1332
1569422700,1406
1569423600,1466
1569424500,1362
1569425400,1420
1569426300,1387
1569427200,1296
1569428100,1426
1569429000,1555
1569429900,1430
1569430800,1423
1569431700,1363
1569432600,1437
1569433500,1482
1569434400,1338
1569435300,1376
1569436200,1501
1569437100,1296
1569438000,1426
1569438900,1389
1569439800,1119
1569440700,1042
1569441600,1064
1569442500,1035
1569443400,1008
1569444300,979
1569445200,1011
1569446100,1107
1569447000,1121
1569447900,1036
1569448800,977
1569449700,985
1569450600,1022
1569451500,998
1569452400,1008
1569453300,985
1569454200,1020
1569455100,1018
1569456000,1026
1569456900,1008
1569457800,1057
