,power
1569283200,866
1569284100,1150
1569285000,1336
1569285900,902
1569286800,982
1569287700,1028
1569288600,894
1569289500,1280
1569290400,1272
1569291300,1116
1569292200,1300
1569293100,1266
1569294000,630
1569294900,1006
1569295800,1394
1569296700,990
1569297600,864
1569298500,1262
1569299400,1002
1569300300,916
1569301200,1920
1569302100,1546
1569303000,1506
1569303900,2114
1569304800,1800
1569305700,1908
1569306600,1700
1569307500,1950
1569308400,2646
1569309300,2230
1569310200,1628
1569311100,1638
1569312000,1442
1569312900,1472
1569313800,1890
1569314700,1144
1569315600,968
1569316500,1566
1569317400,1484
1569318300,2062
1569319200,2574
1569320100,1586
1569321000,1728
1569321900,1790
1569322800,2988
1569323700,1892
1569324600,2060
1569325500,2468
1569326400,2492
1569327300,1702
1569328200,1972
1569329100,2168
1569330000,2188
1569330900,2370
1569331800,1368
1569332700,1618
1569333600,1582
1569334500,1714
1569335400,1710
1569336300,1692
1569337200,1822
1569338100,1932
1569339000,1774
1569339900,2052
1569340800,1734
1569341700,2512
1569342600,1872
1569343500,1868
1569344400,2314
1569345300,2950
1569346200,2112
1569347100,2308
1569348000,2306
1569348900,2624
1569349800,2468
1569350700,2460
1569351600,2378
1569352500,2692
1569353400,2216
1569354300,2662
1569355200,1808
1569356100,1962
1569357000,1744
1569357900,1724
1569358800,1464
1569359700,1334
1569360600,1160
1569361500,846
1569362400,1192
1569363300,1234
1569364200,834
1569365100,1424
1569366000,1072
1569366900,1060
1569367800,980
1569368700,1198
1569369600,796
1569370500,1122
1569371400,1532
1569372300,1290
1569373200,966
1569374100,1180
1569375000,920
1569375900,1128
1569376800,1402
1569377700,920
1569378600,1274
1569379500,1288
1569380400,1276
1569381300,944
1569382200,1098
1569383100,1602
1569384000,786
1569384900,1128
1569385800,1294
1569386700,1098
1569387600,2418
1569388500,2626
1569389400,1708
1569390300,2216
1569391200,1882
1569392100,1830
1569393000,1488
1569393900,1626
1569394800,1910
1569395700,1330
1569396600,1550
1569397500,1954
1569398400,1186
1569399300,1530
1569400200,1430
1569401100,1924
1569402000,1722
1569402900,2046
1569403800,1338
1569404700,1282
1569405600,2104
1569406500,2498
1569407400,1704
1569408300,1722
1569409200,1878
1569410100,1602
1569411000,1550
1569411900,1686
1569412800,1506
1569413700,1546
1569414600,1912
1569415500,1498
1569416400,2122
1569417300,1642
1569418200,1546
1569419100,1820
1569420000,1264
1569420900,1584
1569421800,1764
1569422700,1984
1569423600,1528
1569424500,1660
1569425400,1302
1569426300,1812
1569427200,1862
1569428100,1370
1569429000,1606
1569429900,1636
1569430800,2054
1569431700,1906
1569432600,1922
1569433500,1322
1569434400,1774
1569435300,1622
1569436200,1400
1569437100,1424
1569438000,1144
1569438900,1168
1569439800,1262
1569440700,1414
1569441600,1136
1569442500,1666
1569443400,1594
1569444300,972
1569445200,1144
1569446100,1222
1569447000,864
1569447900,1262
1569448800,1558
1569449700,1120
1569450600,1386
1569451500,1134
1569452400,882
1569453300,1364
1569454200,1034
1569455100,800
