,power
1573516800,1176
1573517700,1152
1573518600,1220
1573519500,1160
1573520400,1260
1573521300,1426
1573522200,1404
1573523100,1260
1573524000,1208
1573524900,1212
1573525800,1126
1573526700,1186
1573527600,1144
1573528500,1244
1573529400,1236
1573530300,1186
1573531200,1164
1573532100,1258
1573533000,1262
1573533900,1172
1573534800,1194
1573535700,1112
1573536600,1266
1573537500,1322
1573538400,2096
1573539300,2678
1573540200,4134
1573541100,2860
1573542000,2554
1573542900,1404
1573543800,1976
1573544700,3956
1573545600,2692
1573546500,2900
1573547400,3168
1573548300,3322
1573549200,2324
1573550100,2674
1573551000,3574
1573551900,2390
1573552800,1376
1573553700,1042
1573554600,950
1573555500,2416
1573556400,4086
1573557300,3084
1573558200,2878
1573559100,2768
1573560000,2662
1573560900,1330
1573561800,1236
1573562700,2512
1573563600,2444
1573564500,2628
1573565400,2548
1573566300,2490
1573567200,1334
1573568100,1444
1573569000,2298
1573569900,2912
1573570800,2014
1573571700,1516
1573572600,1574
1573573500,1790
1573574400,1976
1573575300,2936
1573576200,3228
1573577100,3150
1573578000,3094
1573578900,3088
1573579800,3104
1573580700,2836
1573581600,1942
1573582500,1506
1573583400,1504
1573584300,1432
1573585200,1384
1573586100,1558
1573587000,1582
1573587900,1454
1573588800,1276
1573589700,1318
1573590600,1316
1573591500,1250
1573592400,1248
1573593300,1282
1573594200,1232
1573595100,1416
1573596000,1360
1573596900,1140
1573597800,1196
1573598700,1132
1573599600,1340
1573600500,1140
1573601400,1148
1573602300,1196
1573603200,1108
1573604100,1154
1573605000,1120
1573605900,1170
1573606800,1156
1573607700,1168
1573608600,1244
1573609500,1330
1573610400,1362
1573611300,1268
1573612200,1136
1573613100,1158
1573614000,1138
1573614900,1180
1573615800,1220
1573616700,1290
1573617600,1234
1573618500,1290
1573619400,1406
1573620300,1246
1573621200,1244
1573622100,1220
1573623000,1278
1573623900,1466
1573624800,1440
1573625700,1332
1573626600,1606
1573627500,1458
1573628400,1348
1573629300,1418
1573630200,1388
1573631100,1456
1573632000,1446
1573632900,1454
1573633800,1460
1573634700,1612
1573635600,1598
1573636500,1760
1573637400,1916
1573638300,1526
1573639200,2746
1573640100,1628
1573641000,1490
1573641900,1324
1573642800,1254
1573643700,1406
1573644600,2566
1573645500,2664
1573646400,2688
1573647300,2632
1573648200,1742
1573649100,1420
1573650000,1496
1573650900,1396
1573651800,1232
1573652700,1286
1573653600,1388
1573654500,1910
1573655400,1934
1573656300,1974
1573657200,1954
1573658100,1752
1573659000,1670
1573659900,1664
1573660800,1712
1573661700,2078
1573662600,1942
1573663500,1846
1573664400,1766
1573665300,1850
1573666200,1788
1573667100,1816
1573668000,1816
1573668900,1752
1573669800,1714
1573670700,1842
1573671600,1606
1573672500,1686
1573673400,1790
1573674300,1706
1573675200,1762
1573676100,1800
1573677000,1790
1573677900,1796
1573678800,1458
1573679700,1366
1573680600,1382
1573681500,1426
1573682400,1418
1573683300,1452
1573684200,1536
1573685100,1526
1573686000,1570
1573686900,1370
1573687800,1434
1573688700,1424
1573689600,1438
1573690500,1470
1573691400,1448
1573692300,1486
1573693200,1450
1573694100,1482
1573695000,1406
1573695900,1552
1573696800,1406
1573697700,1546
1573698600,1632
1573699500,1600
1573700400,1570
1573701300,1444
1573702200,1456
1573703100,1462
1573704000,1472
1573704900,1572
1573705800,1708
1573706700,1566
1573707600,1560
1573708500,1684
1573709400,1606
1573710300,1520
1573711200,1414
1573712100,1408
1573713000,1710
1573713900,1520
1573714800,1604
1573715700,1530
1573716600,1696
1573717500,1646
1573718400,2012
1573719300,2796
1573720200,2130
1573721100,2354
1573722000,1500
1573722900,1358
1573723800,1372
1573724700,1404
1573725600,1422
1573726500,1174
1573727400,1524
1573728300,1910
1573729200,1782
1573730100,1268
1573731000,1590
1573731900,2616
1573732800,1468
1573733700,1472
1573734600,1590
1573735500,1616
1573736400,1560
1573737300,1820
1573738200,2770
1573739100,2654
1573740000,2848
1573740900,2936
1573741800,3010
1573742700,2088
1573743600,1888
1573744500,1898
1573745400,1828
1573746300,1794
1573747200,2064
1573748100,2504
1573749000,1780
1573749900,1946
1573750800,2904
1573751700,2312
1573752600,1938
1573753500,1936
1573754400,1898
1573755300,1856
1573756200,1786
1573757100,1758
1573758000,1738
1573758900,1792
1573759800,1882
1573760700,1844
1573761600,1828
1573762500,1832
1573763400,1930
1573764300,1964
1573765200,1800
1573766100,1830
1573767000,1420
1573767900,1424
1573768800,1366
1573769700,1566
1573770600,1410
1573771500,1504
1573772400,1384
1573773300,1388
1573774200,1388
1573775100,1378
1573776000,1356
1573776900,1336
1573777800,1384
1573778700,1332
1573779600,1344
1573780500,1444
1573781400,1444
1573782300,1396
1573783200,1378
1573784100,1384
1573785000,1384
1573785900,1352
1573786800,1380
1573787700,1462
1573788600,1428
1573789500,1494
1573790400,1574
1573791300,1590
1573792200,1698
1573793100,1474
1573794000,1500
1573794900,1496
1573795800,1670
1573796700,1850
1573797600,3128
1573798500,3184
1573799400,1990
1573800300,1732
1573801200,1876
1573802100,2352
1573803000,1704
1573803900,1882
1573804800,2694
1573805700,3250
1573806600,3210
1573807500,3208
1573808400,3324
1573809300,1870
1573810200,1898
1573811100,1840
1573812000,1768
1573812900,1858
1573813800,2080
1573814700,2482
1573815600,1714
1573816500,1984
1573817400,2118
1573818300,4656
1573819200,3188
1573820100,3242
1573821000,2690
1573821900,1682
1573822800,1562
1573823700,1510
1573824600,1282
1573825500,1544
1573826400,2940
1573827300,2866
1573828200,2612
1573829100,1494
1573830000,1338
1573830900,1386
1573831800,1298
1573832700,1430
1573833600,1754
1573834500,1848
1573835400,1664
1573836300,1672
1573837200,1600
1573838100,1552
1573839000,1388
1573839900,1362
1573840800,1374
1573841700,1410
1573842600,1454
1573843500,1386
1573844400,1540
1573845300,1502
1573846200,1688
1573847100,1322
1573848000,1282
1573848900,1244
1573849800,1264
1573850700,1346
1573851600,1284
1573852500,1310
1573853400,1224
1573854300,1206
1573855200,1188
1573856100,1154
1573857000,1142
1573857900,1200
1573858800,1198
1573859700,1430
1573860600,1500
1573861500,1396
1573862400,1316
1573863300,1236
1573864200,1324
1573865100,1274
1573866000,1246
1573866900,1172
1573867800,1240
1573868700,1294
1573869600,1224
1573870500,1118
1573871400,1184
1573872300,1330
1573873200,1292
1573874100,1406
1573875000,1368
1573875900,1326
1573876800,1262
1573877700,1248
1573878600,1370
1573879500,1236
1573880400,1236
1573881300,1104
1573882200,1114
1573883100,1240
1573884000,1254
1573884900,1274
1573885800,1520
1573886700,1820
1573887600,2170
1573888500,1388
1573889400,1516
1573890300,3598
1573891200,2854
1573892100,3330
1573893000,3026
1573893900,1984
1573894800,2562
1573895700,3526
1573896600,3410
1573897500,1468
1573898400,1390
1573899300,1552
1573900200,1908
1573901100,1856
1573902000,1992
1573902900,1936
1573903800,1120
1573904700,790
1573905600,1106
1573906500,1136
1573907400,1220
1573908300,1124
1573909200,1028
1573910100,890
1573911000,2270
1573911900,2418
1573912800,2388
1573913700,2392
1573914600,1452
1573915500,948
1573916400,1186
1573917300,1464
1573918200,1592
1573919100,1402
1573920000,1310
1573920900,1324
1573921800,1464
1573922700,1628
1573923600,1342
1573924500,1330
1573925400,1246
1573926300,1184
1573927200,958
1573928100,972
1573929000,1056
1573929900,1164
1573930800,1096
1573931700,1280
1573932600,1346
1573933500,1336
1573934400,1234
1573935300,1102
1573936200,1110
1573937100,1162
1573938000,1108
1573938900,1304
1573939800,1080
1573940700,1104
1573941600,1230
1573942500,1008
1573943400,1260
1573944300,1088
1573945200,1052
1573946100,1048
1573947000,1174
1573947900,1160
1573948800,1092
1573949700,1110
1573950600,1198
1573951500,1140
1573952400,1244
1573953300,1266
1573954200,1382
1573955100,1378
1573956000,1224
1573956900,1222
1573957800,1160
1573958700,1200
1573959600,1150
1573960500,1254
1573961400,1246
1573962300,1228
1573963200,1210
1573964100,1218
1573965000,1226
1573965900,1324
1573966800,1566
1573967700,1584
1573968600,1402
1573969500,1552
1573970400,1558
1573971300,1582
1573972200,1754
1573973100,1514
1573974000,2042
1573974900,1928
1573975800,1428
1573976700,1638
1573977600,1822
1573978500,1844
1573979400,3800
1573980300,2920
1573981200,1994
1573982100,1682
1573983000,1658
1573983900,1598
1573984800,2120
1573985700,1464
1573986600,1340
1573987500,1248
1573988400,1844
1573989300,1864
1573990200,1538
1573991100,4162
1573992000,2864
1573992900,2538
1573993800,2156
1573994700,1072
1573995600,1028
1573996500,1180
1573997400,1334
1573998300,2644
1573999200,2776
1574000100,2812
1574001000,2724
1574001900,1936
1574002800,990
1574003700,1024
1574004600,1222
1574005500,1174
1574006400,1324
1574007300,1332
1574008200,1546
1574009100,1444
1574010000,1342
1574010900,1202
1574011800,1160
1574012700,1284
1574013600,1306
1574014500,1256
1574015400,1254
1574016300,1304
1574017200,1434
1574018100,1448
1574019000,1382
1574019900,1480
1574020800,1266
1574021700,1354
1574022600,1110
1574023500,1144
1574024400,1120
1574025300,1096
1574026200,1088
1574027100,1126
1574028000,1030
1574028900,1000
1574029800,1030
1574030700,1032
1574031600,1018
1574032500,1186
1574033400,1096
1574034300,1190
1574035200,1162
1574036100,1100
1574037000,1006
1574037900,1018
1574038800,1020
1574039700,1030
1574040600,1044
1574041500,1024
1574042400,990
1574043300,998
1574044200,1026
1574045100,1064
1574046000,1120
1574046900,1148
1574047800,1300
1574048700,1210
1574049600,1062
1574050500,1082
1574051400,1208
1574052300,1146
1574053200,1276
1574054100,1350
1574055000,1304
1574055900,1340
1574056800,1256
1574057700,1260
1574058600,1538
1574059500,1692
1574060400,1856
1574061300,1718
1574062200,2414
1574063100,1548
1574064000,1718
1574064900,1602
1574065800,1528
1574066700,3178
1574067600,3024
1574068500,3088
1574069400,1650
1574070300,1470
1574071200,900
1574072100,886
1574073000,844
1574073900,712
1574074800,2356
1574075700,2300
1574076600,2274
1574077500,2232
1574078400,2056
1574079300,888
1574080200,770
1574081100,702
1574082000,768
1574082900,964
1574083800,922
1574084700,1316
1574085600,1418
1574086500,910
1574087400,844
1574088300,1060
1574089200,1098
1574090100,1228
1574091000,1402
1574091900,1916
1574092800,1560
1574093700,1898
1574094600,1704
1574095500,1646
1574096400,1670
1574097300,1670
1574098200,1704
1574099100,1768
1574100000,1714
1574100900,1624
1574101800,1584
1574102700,1576
1574103600,1396
1574104500,1172
1574105400,1172
1574106300,1112
1574107200,1124
1574108100,1162
1574109000,1120
1574109900,1114
1574110800,1398
1574111700,1234
1574112600,1262
1574113500,1200
1574114400,1170
1574115300,982
1574116200,852
1574117100,942
1574118000,912
1574118900,920
1574119800,994
1574120700,950
