,power
1572912000,719
1572912900,663
1572913800,176
1572914700,338
1572915600,529
1572916500,545
1572917400,283
1572918300,410
1572919200,482
1572920100,524
1572921000,318
1572921900,271
1572922800,284
1572923700,667
1572924600,336
1572925500,293
1572926400,419
1572927300,672
1572928200,254
1572929100,373
1572930000,519
1572930900,616
1572931800,442
1572932700,293
1572933600,844
1572934500,1421
1572935400,1975
1572936300,2507
1572937200,2196
1572938100,2389
1572939000,2260
1572939900,2348
1572940800,1985
1572941700,1858
1572942600,1817
1572943500,2404
1572944400,2713
1572945300,2241
1572946200,2053
1572947100,1832
1572948000,2196
1572948900,2327
1572949800,2288
1572950700,1775
1572951600,1343
1572952500,1004
1572953400,760
1572954300,467
1572955200,1083
1572956100,930
1572957000,617
1572957900,810
1572958800,679
1572959700,660
1572960600,1040
1572961500,2427
1572962400,1941
1572963300,2215
1572964200,1596
1572965100,1549
1572966000,1682
1572966900,2921
1572967800,1628
1572968700,1559
1572969600,2046
1572970500,1757
1572971400,1663
1572972300,1608
1572973200,1511
1572974100,1067
1572975000,986
1572975900,724
1572976800,918
1572977700,1018
1572978600,810
1572979500,1107
1572980400,710
1572981300,1007
1572982200,1037
1572983100,896
1572984000,1050
1572984900,864
1572985800,1092
1572986700,843
1572987600,749
1572988500,432
1572989400,750
1572990300,805
1572991200,392
1572992100,571
1572993000,630
1572993900,514
1572994800,470
1572995700,392
1572996600,187
1572997500,492
1572998400,690
1572999300,233
1573000200,473
1573001100,432
1573002000,515
1573002900,366
1573003800,393
1573004700,488
1573005600,256
1573006500,676
1573007400,280
1573008300,386
1573009200,391
1573010100,398
1573011000,359
1573011900,546
1573012800,322
1573013700,328
1573014600,645
1573015500,361
1573016400,472
1573017300,431
1573018200,330
1573019100,655
1573020000,607
1573020900,920
1573021800,1891
1573022700,2411
1573023600,1654
1573024500,1718
1573025400,2148
1573026300,1556
1573027200,1680
1573028100,2255
1573029000,1688
1573029900,2057
1573030800,3188
1573031700,2946
1573032600,2589
1573033500,2632
1573034400,2409
1573035300,2425
1573036200,2445
1573037100,2689
1573038000,1620
1573038900,1098
1573039800,1050
1573040700,1115
1573041600,1592
1573042500,754
1573043400,690
1573044300,817
1573045200,577
1573046100,1276
1573047000,883
1573047900,836
1573048800,371
1573049700,664
1573050600,537
1573051500,992
1573052400,848
1573053300,620
1573054200,558
1573055100,614
1573056000,676
1573056900,548
1573057800,818
1573058700,1088
1573059600,863
1573060500,913
1573061400,1147
1573062300,865
1573063200,759
1573064100,750
1573065000,804
1573065900,1019
1573066800,655
1573067700,941
1573068600,872
1573069500,1100
1573070400,890
1573071300,807
1573072200,839
1573073100,998
1573074000,808
1573074900,532
1573075800,761
1573076700,741
1573077600,1010
1573078500,874
1573079400,792
1573080300,459
1573081200,238
1573082100,594
1573083000,323
1573083900,508
1573084800,271
1573085700,552
1573086600,262
1573087500,422
1573088400,544
1573089300,305
1573090200,368
1573091100,502
1573092000,332
1573092900,150
1573093800,669
1573094700,444
1573095600,222
1573096500,363
1573097400,525
1573098300,386
1573099200,271
1573100100,389
1573101000,409
1573101900,619
1573102800,334
1573103700,327
1573104600,422
1573105500,613
1573106400,341
1573107300,1040
1573108200,1285
1573109100,2431
1573110000,1742
1573110900,1587
1573111800,1949
1573112700,1757
1573113600,1747
1573114500,1667
1573115400,1780
1573116300,1616
1573117200,1571
1573118100,2040
1573119000,1505
1573119900,1594
1573120800,1598
1573121700,1834
1573122600,1426
1573123500,1542
1573124400,822
1573125300,872
1573126200,2033
1573127100,1274
1573128000,696
1573128900,827
1573129800,615
1573130700,373
1573131600,807
1573132500,987
1573133400,1825
1573134300,2102
1573135200,1656
1573136100,1809
1573137000,1695
1573137900,1545
1573138800,2813
1573139700,1890
1573140600,1717
1573141500,1752
1573142400,2297
1573143300,1999
1573144200,2205
1573145100,1746
1573146000,1200
1573146900,1370
1573147800,1188
1573148700,892
1573149600,861
1573150500,795
1573151400,932
1573152300,642
1573153200,741
1573154100,930
1573155000,1087
1573155900,1307
1573156800,806
1573157700,701
1573158600,685
1573159500,736
1573160400,779
1573161300,671
1573162200,494
1573163100,824
1573164000,653
1573164900,344
1573165800,591
1573166700,355
1573167600,451
1573168500,326
1573169400,652
1573170300,407
1573171200,445
1573172100,391
1573173000,463
1573173900,341
1573174800,213
1573175700,720
1573176600,466
1573177500,317
1573178400,145
1573179300,811
1573180200,272
1573181100,282
1573182000,420
1573182900,313
1573183800,540
1573184700,441
1573185600,513
1573186500,178
1573187400,632
1573188300,365
1573189200,439
1573190100,401
1573191000,407
1573191900,491
1573192800,600
1573193700,1227
1573194600,1433
1573195500,2481
1573196400,1665
1573197300,1607
1573198200,1930
1573199100,1779
1573200000,1734
1573200900,1646
1573201800,1766
1573202700,1716
1573203600,1561
1573204500,1712
1573205400,1756
1573206300,1629
1573207200,1702
1573208100,1633
1573209000,2024
1573209900,2790
1573210800,1259
1573211700,1550
1573212600,1259
1573213500,761
1573214400,605
1573215300,359
1573216200,729
1573217100,560
1573218000,355
1573218900,1332
1573219800,928
1573220700,851
1573221600,623
1573222500,361
1573223400,373
1573224300,1613
1573225200,663
1573226100,314
1573227000,568
1573227900,790
1573228800,1134
1573229700,993
1573230600,990
1573231500,1027
