,power
1572912000,161
1572912900,195
1572913800,172
1572914700,149
1572915600,201
1572916500,143
1572917400,185
1572918300,509
1572919200,210
1572920100,208
1572921000,433
1572921900,454
1572922800,196
1572923700,148
1572924600,184
1572925500,150
1572926400,196
1572927300,177
1572928200,199
1572929100,196
1572930000,161
1572930900,200
1572931800,144
1572932700,198
1572933600,197
1572934500,210
1572935400,187
1572936300,162
1572937200,196
1572938100,198
1572939000,581
1572939900,327
1572940800,598
1572941700,441
1572942600,466
1572943500,498
1572944400,499
1572945300,458
1572946200,445
1572947100,448
1572948000,431
1572948900,514
1572949800,462
1572950700,441
1572951600,433
1572952500,490
1572953400,495
1572954300,529
1572955200,578
1572956100,592
1572957000,397
1572957900,376
1572958800,323
1572959700,443
1572960600,336
1572961500,322
1572962400,473
1572963300,490
1572964200,509
1572965100,880
1572966000,486
1572966900,526
1572967800,512
1572968700,576
1572969600,618
1572970500,560
1572971400,1097
1572972300,1516
1572973200,827
1572974100,628
1572975000,627
1572975900,582
1572976800,426
1572977700,536
1572978600,565
1572979500,436
1572980400,416
1572981300,577
1572982200,666
1572983100,567
1572984000,526
1572984900,401
1572985800,407
1572986700,433
1572987600,425
1572988500,411
1572989400,427
1572990300,440
1572991200,424
1572992100,409
1572993000,432
1572993900,372
1572994800,268
1572995700,232
1572996600,238
1572997500,252
1572998400,171
1572999300,216
1573000200,153
1573001100,151
1573002000,182
1573002900,160
1573003800,185
1573004700,185
1573005600,289
1573006500,413
1573007400,208
1573008300,221
1573009200,671
1573010100,320
1573011000,166
1573011900,174
1573012800,178
1573013700,191
1573014600,240
1573015500,171
1573016400,166
1573017300,190
1573018200,159
1573019100,192
1573020000,181
1573020900,220
1573021800,314
1573022700,300
1573023600,278
1573024500,247
1573025400,322
1573026300,698
1573027200,825
1573028100,387
1573029000,1194
1573029900,581
1573030800,410
1573031700,419
1573032600,408
1573033500,475
1573034400,480
1573035300,419
1573036200,415
1573037100,447
1573038000,389
1573038900,454
1573039800,541
1573040700,679
1573041600,554
1573042500,541
1573043400,498
1573044300,433
1573045200,475
1573046100,403
1573047000,378
1573047900,411
1573048800,631
1573049700,417
1573050600,395
1573051500,412
1573052400,456
1573053300,435
1573054200,493
1573055100,480
1573056000,458
1573056900,447
1573057800,559
1573058700,514
1573059600,545
1573060500,405
1573061400,563
1573062300,422
1573063200,356
1573064100,320
1573065000,339
1573065900,404
1573066800,331
1573067700,351
1573068600,293
1573069500,306
1573070400,306
1573071300,286
1573072200,310
1573073100,282
1573074000,263
1573074900,261
1573075800,386
1573076700,527
1573077600,482
1573078500,524
1573079400,517
1573080300,434
1573081200,408
1573082100,386
1573083000,210
1573083900,187
1573084800,162
1573085700,185
1573086600,177
1573087500,197
1573088400,172
1573089300,179
1573090200,186
1573091100,160
1573092000,201
1573092900,190
1573093800,199
1573094700,240
1573095600,168
1573096500,176
1573097400,173
1573098300,199
1573099200,204
1573100100,176
1573101000,206
1573101900,193
1573102800,185
1573103700,209
1573104600,194
1573105500,206
1573106400,183
1573107300,356
1573108200,272
1573109100,301
1573110000,492
1573110900,419
1573111800,369
1573112700,264
1573113600,405
1573114500,348
1573115400,329
1573116300,362
1573117200,342
1573118100,349
1573119000,365
1573119900,352
1573120800,385
1573121700,705
1573122600,996
1573123500,1016
1573124400,459
1573125300,1021
1573126200,632
1573127100,521
1573128000,455
1573128900,884
1573129800,420
1573130700,332
1573131600,389
1573132500,318
1573133400,321
1573134300,498
1573135200,942
1573136100,608
1573137000,651
1573137900,870
