,power
1569283200,576
1569284100,554
1569285000,545
1569285900,514
1569286800,572
1569287700,556
1569288600,612
1569289500,589
1569290400,535
1569291300,486
1569292200,493
1569293100,525
1569294000,604
1569294900,537
1569295800,536
1569296700,687
1569297600,1297
1569298500,1359
1569299400,1501
1569300300,1517
1569301200,937
1569302100,1778
1569303000,2052
1569303900,2627
1569304800,3159
1569305700,1633
1569306600,2311
1569307500,1507
1569308400,1536
1569309300,2633
1569310200,1705
1569311100,3325
1569312000,3564
1569312900,1663
1569313800,1914
1569314700,2456
1569315600,2432
1569316500,1838
1569317400,1450
1569318300,2439
1569319200,1236
1569320100,1381
1569321000,1199
1569321900,1364
1569322800,1617
1569323700,2261
1569324600,2528
1569325500,2188
1569326400,2025
1569327300,2521
1569328200,1398
1569329100,1676
1569330000,1607
1569330900,1521
1569331800,1451
1569332700,2089
1569333600,1752
1569334500,2183
1569335400,1770
1569336300,1581
1569337200,1883
1569338100,1379
1569339000,1642
1569339900,1464
1569340800,2418
1569341700,1679
1569342600,1300
1569343500,1147
1569344400,1596
1569345300,1853
1569346200,1669
1569347100,1679
1569348000,1737
1569348900,1956
1569349800,1695
1569350700,1999
1569351600,950
1569352500,877
1569353400,873
1569354300,861
1569355200,1261
1569356100,1323
1569357000,1205
1569357900,1185
1569358800,1130
1569359700,713
1569360600,603
1569361500,702
1569362400,683
1569363300,609
1569364200,564
1569365100,576
1569366000,543
1569366900,602
1569367800,588
1569368700,596
1569369600,544
1569370500,543
1569371400,515
1569372300,585
1569373200,534
1569374100,597
1569375000,568
1569375900,599
1569376800,640
1569377700,619
1569378600,612
1569379500,563
1569380400,575
1569381300,564
1569382200,496
1569383100,615
1569384000,1239
1569384900,1407
1569385800,1501
1569386700,1892
1569387600,1129
1569388500,1132
1569389400,1477
1569390300,1707
1569391200,1845
1569392100,1728
1569393000,1852
1569393900,1646
1569394800,1693
1569395700,1743
1569396600,1743
1569397500,1610
1569398400,2364
1569399300,2276
1569400200,2590
1569401100,2425
1569402000,1620
