,power
1563840000,330
1563840900,342
1563841800,271
1563842700,270
1563843600,299
1563844500,307
1563845400,326
1563846300,339
1563847200,326
1563848100,330
1563849000,303
1563849900,296
1563850800,295
1563851700,354
1563852600,345
1563853500,319
1563854400,319
1563855300,292
1563856200,316
1563857100,433
1563858000,673
1563858900,557
1563859800,506
1563860700,458
1563861600,420
1563862500,459
1563863400,465
1563864300,496
1563865200,570
1563866100,448
1563867000,452
1563867900,408
1563868800,400
1563869700,395
1563870600,448
1563871500,452
1563872400,455
1563873300,469
1563874200,918
1563875100,761
1563876000,720
1563876900,845
1563877800,803
1563878700,863
1563879600,845
1563880500,558
1563881400,506
1563882300,543
1563883200,508
1563884100,577
1563885000,549
1563885900,519
1563886800,480
1563887700,444
1563888600,472
1563889500,498
1563890400,462
1563891300,491
1563892200,486
1563893100,457
1563894000,466
1563894900,502
1563895800,473
1563896700,480
1563897600,468
1563898500,480
1563899400,457
1563900300,421
1563901200,494
1563902100,388
1563903000,372
1563903900,374
1563904800,378
1563905700,438
1563906600,463
1563907500,414
1563908400,502
1563909300,714
1563910200,621
1563911100,724
1563912000,1250
1563912900,1115
1563913800,747
1563914700,684
1563915600,566
1563916500,499
1563917400,504
1563918300,495
1563919200,458
1563920100,388
1563921000,342
1563921900,325
1563922800,272
1563923700,324
1563924600,325
1563925500,292
1563926400,306
1563927300,299
1563928200,311
1563929100,339
1563930000,348
1563930900,296
1563931800,293
1563932700,289
1563933600,302
1563934500,379
1563935400,431
1563936300,299
1563937200,268
1563938100,289
1563939000,290
1563939900,337
1563940800,584
1563941700,1311
1563942600,519
1563943500,600
1563944400,626
1563945300,477
1563946200,465
1563947100,487
1563948000,554
1563948900,710
1563949800,687
1563950700,773
1563951600,480
1563952500,479
1563953400,958
1563954300,625
1563955200,446
1563956100,686
1563957000,810
1563957900,452
1563958800,491
1563959700,495
1563960600,455
1563961500,1185
1563962400,1305
1563963300,884
1563964200,1088
1563965100,1049
1563966000,731
1563966900,1060
1563967800,870
1563968700,921
1563969600,755
1563970500,768
1563971400,838
1563972300,782
1563973200,692
1563974100,721
1563975000,528
1563975900,408
1563976800,470
1563977700,424
1563978600,448
1563979500,436
1563980400,451
1563981300,461
1563982200,478
1563983100,445
1563984000,414
1563984900,420
1563985800,673
1563986700,591
1563987600,392
1563988500,387
1563989400,474
1563990300,768
1563991200,424
1563992100,404
1563993000,485
1563993900,435
1563994800,510
1563995700,694
1563996600,681
1563997500,715
1563998400,766
1563999300,805
1564000200,651
1564001100,661
1564002000,561
1564002900,519
1564003800,547
1564004700,520
1564005600,508
1564006500,550
1564007400,562
1564008300,520
1564009200,534
1564010100,448
1564011000,443
1564011900,453
1564012800,466
1564013700,493
1564014600,501
1564015500,480
1564016400,444
1564017300,457
1564018200,463
1564019100,456
1564020000,491
1564020900,490
1564021800,479
1564022700,458
1564023600,454
1564024500,414
1564025400,404
1564026300,413
1564027200,468
1564028100,469
1564029000,487
1564029900,620
1564030800,688
1564031700,559
1564032600,417
1564033500,447
1564034400,459
1564035300,384
1564036200,360
1564037100,370
1564038000,563
1564038900,662
1564039800,528
1564040700,551
1564041600,442
1564042500,409
1564043400,574
1564044300,467
1564045200,415
1564046100,444
1564047000,418
1564047900,357
1564048800,369
1564049700,379
1564050600,446
1564051500,527
1564052400,927
1564053300,524
1564054200,499
1564055100,509
1564056000,530
1564056900,572
1564057800,427
1564058700,368
1564059600,311
1564060500,313
1564061400,324
1564062300,394
1564063200,432
1564064100,350
1564065000,342
1564065900,298
1564066800,304
1564067700,320
1564068600,409
1564069500,484
1564070400,452
1564071300,454
1564072200,798
1564073100,828
1564074000,722
1564074900,1253
1564075800,1182
1564076700,1090
1564077600,605
1564078500,495
1564079400,1041
1564080300,518
1564081200,655
1564082100,700
1564083000,701
1564083900,822
1564084800,819
1564085700,783
1564086600,745
1564087500,759
1564088400,790
1564089300,753
1564090200,665
1564091100,598
1564092000,416
1564092900,367
1564093800,299
1564094700,290
1564095600,260
1564096500,306
1564097400,370
1564098300,361
1564099200,296
1564100100,273
1564101000,282
1564101900,304
1564102800,312
1564103700,349
1564104600,302
1564105500,321
1564106400,300
1564107300,314
1564108200,310
1564109100,316
1564110000,323
1564110900,338
1564111800,363
1564112700,312
1564113600,329
1564114500,466
1564115400,1200
1564116300,503
1564117200,603
1564118100,469
1564119000,454
1564119900,471
1564120800,470
1564121700,420
1564122600,428
1564123500,412
1564124400,498
1564125300,414
1564126200,398
1564127100,380
1564128000,408
1564128900,390
1564129800,491
1564130700,465
1564131600,466
1564132500,391
1564133400,397
1564134300,453
1564135200,711
1564136100,478
1564137000,817
1564137900,794
1564138800,546
1564139700,620
1564140600,495
1564141500,491
1564142400,424
1564143300,399
1564144200,440
1564145100,477
1564146000,578
1564146900,580
1564147800,622
1564148700,561
1564149600,487
1564150500,477
1564151400,530
1564152300,487
1564153200,504
1564154100,513
1564155000,444
1564155900,435
1564156800,474
1564157700,484
1564158600,512
1564159500,475
1564160400,521
1564161300,545
1564162200,611
1564163100,543
1564164000,511
