,power
1572912000,1912
1572912900,1831
1572913800,2390
1572914700,1923
1572915600,1804
1572916500,1876
1572917400,1834
1572918300,1807
1572919200,1779
1572920100,1800
1572921000,1971
1572921900,1675
1572922800,1428
1572923700,923
1572924600,698
1572925500,957
1572926400,1004
1572927300,1577
1572928200,1338
1572929100,1032
1572930000,1916
1572930900,1899
1572931800,1410
1572932700,975
1572933600,1177
1572934500,1157
1572935400,1110
1572936300,1835
1572937200,2073
1572938100,1216
1572939000,1463
1572939900,2320
1572940800,1502
1572941700,2265
1572942600,1988
1572943500,1980
1572944400,1380
1572945300,1344
1572946200,1449
1572947100,1408
1572948000,1742
1572948900,1470
1572949800,974
1572950700,1083
1572951600,905
1572952500,905
1572953400,1270
1572954300,1905
1572955200,1881
1572956100,2112
1572957000,1239
1572957900,1841
1572958800,1380
1572959700,1633
1572960600,1349
1572961500,1478
1572962400,2331
1572963300,2429
1572964200,2273
1572965100,3585
1572966000,2874
1572966900,2066
1572967800,2456
1572968700,2013
1572969600,2259
1572970500,2047
1572971400,2112
1572972300,2967
1572973200,2015
1572974100,1913
1572975000,1874
1572975900,1829
1572976800,1464
1572977700,1264
1572978600,1411
1572979500,1452
1572980400,1259
1572981300,1385
1572982200,1243
1572983100,1139
1572984000,1315
1572984900,1201
1572985800,1231
1572986700,1182
1572987600,2103
1572988500,2204
1572989400,2248
1572990300,2067
1572991200,2061
1572992100,1273
1572993000,660
1572993900,1063
1572994800,1765
1572995700,1824
1572996600,1869
1572997500,1637
1572998400,1754
1572999300,1689
1573000200,1686
1573001100,1772
1573002000,1609
1573002900,1825
1573003800,2359
1573004700,1731
1573005600,1785
1573006500,1643
1573007400,1927
1573008300,1656
1573009200,846
1573010100,751
1573011000,598
1573011900,780
1573012800,1069
1573013700,979
1573014600,1091
1573015500,1729
1573016400,1564
1573017300,1329
1573018200,1470
1573019100,1378
1573020000,1564
1573020900,1352
1573021800,955
1573022700,1388
1573023600,1021
1573024500,1714
1573025400,2078
1573026300,2218
1573027200,1761
1573028100,1470
1573029000,941
1573029900,1195
1573030800,817
1573031700,967
1573032600,927
1573033500,1004
1573034400,1060
1573035300,1027
1573036200,900
1573037100,818
1573038000,1202
1573038900,1228
1573039800,1673
1573040700,1460
1573041600,1121
1573042500,1115
1573043400,1017
1573044300,1123
1573045200,1012
1573046100,1011
1573047000,876
1573047900,1114
1573048800,934
1573049700,1120
1573050600,1074
1573051500,1102
1573052400,1028
1573053300,1039
1573054200,1064
1573055100,1971
1573056000,2150
1573056900,1806
1573057800,2310
1573058700,1902
1573059600,1830
1573060500,1372
1573061400,1224
1573062300,1318
1573063200,1166
1573064100,1516
1573065000,1424
1573065900,1305
1573066800,1301
1573067700,1123
1573068600,1262
1573069500,1216
1573070400,1166
1573071300,1403
1573072200,1157
1573073100,1265
1573074000,2536
1573074900,2277
1573075800,2553
1573076700,1502
1573077600,1871
1573078500,1197
1573079400,1691
1573080300,922
1573081200,1023
1573082100,1728
1573083000,1738
1573083900,1787
1573084800,1822
1573085700,1726
1573086600,1887
1573087500,2051
1573088400,2322
1573089300,1813
1573090200,1614
1573091100,1881
1573092000,1685
1573092900,1788
1573093800,1817
1573094700,842
1573095600,694
1573096500,741
1573097400,661
1573098300,844
1573099200,828
1573100100,1365
1573101000,1166
1573101900,900
1573102800,1069
1573103700,981
1573104600,1234
1573105500,1499
1573106400,1136
1573107300,1092
1573108200,1307
1573109100,1105
1573110000,1050
1573110900,1182
1573111800,859
1573112700,964
1573113600,917
1573114500,737
1573115400,1021
1573116300,1214
1573117200,1222
1573118100,1110
1573119000,1112
1573119900,779
1573120800,943
1573121700,1465
1573122600,1499
1573123500,1538
1573124400,1031
1573125300,849
1573126200,1017
1573127100,1128
1573128000,945
1573128900,1017
1573129800,1142
1573130700,1064
1573131600,1089
1573132500,825
1573133400,1041
1573134300,1014
1573135200,1019
1573136100,1245
1573137000,1189
1573137900,1039
1573138800,1876
1573139700,2080
1573140600,1992
1573141500,2651
1573142400,2194
1573143300,2384
1573144200,3432
1573145100,3184
1573146000,2959
1573146900,2017
1573147800,1549
1573148700,1440
1573149600,1392
1573150500,1353
1573151400,1276
1573152300,1528
1573153200,1883
1573154100,1668
1573155000,1270
1573155900,1282
1573156800,1350
1573157700,1396
1573158600,1362
1573159500,1267
1573160400,2676
1573161300,2797
1573162200,2509
1573163100,1460
1573164000,1525
1573164900,1370
1573165800,1353
1573166700,1022
1573167600,979
1573168500,1693
1573169400,2022
1573170300,1952
1573171200,1879
1573172100,1931
1573173000,2697
1573173900,1861
1573174800,2070
1573175700,1920
1573176600,1792
1573177500,1900
1573178400,1867
1573179300,1843
1573180200,1919
1573181100,1877
1573182000,1869
1573182900,1691
1573183800,750
1573184700,904
1573185600,1858
1573186500,1310
1573187400,1385
1573188300,1099
1573189200,914
1573190100,1274
1573191000,1226
1573191900,1118
1573192800,1432
1573193700,1769
1573194600,1610
1573195500,1731
1573196400,1377
1573197300,1060
1573198200,1047
1573199100,870
1573200000,1141
1573200900,922
1573201800,1119
1573202700,1378
1573203600,1161
1573204500,1243
1573205400,967
1573206300,1107
1573207200,805
1573208100,987
1573209000,867
1573209900,906
1573210800,830
1573211700,816
1573212600,1309
1573213500,1074
1573214400,1058
1573215300,991
1573216200,1132
1573217100,1434
1573218000,1278
1573218900,1206
1573219800,1012
1573220700,1201
1573221600,1160
1573222500,1130
1573223400,962
1573224300,1082
1573225200,1100
1573226100,1015
1573227000,984
1573227900,1377
1573228800,1449
1573229700,1525
1573230600,1616
1573231500,1707
1573232400,1858
1573233300,1595
1573234200,1691
1573235100,1354
