,power
1573516800,164
1573517700,180
1573518600,150
1573519500,228
1573520400,226
1573521300,154
1573522200,126
1573523100,242
1573524000,164
1573524900,192
1573525800,282
1573526700,230
1573527600,172
1573528500,176
1573529400,274
1573530300,266
1573531200,890
1573532100,552
1573533000,418
1573533900,306
1573534800,186
1573535700,232
1573536600,338
1573537500,172
1573538400,234
1573539300,180
1573540200,154
1573541100,384
1573542000,428
1573542900,494
1573543800,182
1573544700,200
1573545600,190
1573546500,246
1573547400,206
1573548300,242
1573549200,176
1573550100,162
1573551000,386
1573551900,1266
1573552800,564
1573553700,388
1573554600,366
1573555500,318
1573556400,436
1573557300,786
1573558200,746
1573559100,916
1573560000,250
1573560900,700
1573561800,424
1573562700,344
1573563600,240
1573564500,302
1573565400,296
1573566300,276
1573567200,816
1573568100,828
1573569000,410
1573569900,366
1573570800,212
1573571700,324
1573572600,320
1573573500,302
1573574400,312
1573575300,430
1573576200,332
1573577100,388
1573578000,500
1573578900,360
1573579800,616
1573580700,476
1573581600,500
1573582500,752
1573583400,522
1573584300,498
1573585200,574
1573586100,752
1573587000,358
1573587900,376
1573588800,354
1573589700,390
1573590600,422
1573591500,538
1573592400,424
1573593300,442
1573594200,474
1573595100,404
1573596000,396
1573596900,408
1573597800,376
1573598700,434
1573599600,264
1573600500,158
1573601400,170
1573602300,164
1573603200,192
1573604100,214
1573605000,184
1573605900,186
1573606800,150
1573607700,180
1573608600,198
1573609500,226
1573610400,202
1573611300,146
1573612200,210
1573613100,264
1573614000,208
1573614900,248
1573615800,216
1573616700,280
1573617600,420
1573618500,322
1573619400,226
1573620300,584
1573621200,238
1573622100,198
1573623000,222
1573623900,256
1573624800,210
1573625700,152
1573626600,208
1573627500,186
1573628400,154
1573629300,218
1573630200,252
1573631100,218
1573632000,194
1573632900,174
1573633800,238
1573634700,236
1573635600,250
1573636500,310
1573637400,178
1573638300,186
1573639200,424
1573640100,690
1573641000,480
1573641900,310
1573642800,244
1573643700,388
1573644600,280
1573645500,234
1573646400,306
1573647300,220
1573648200,116
1573649100,250
1573650000,212
1573650900,182
1573651800,1146
1573652700,838
1573653600,366
1573654500,278
1573655400,282
1573656300,300
1573657200,262
1573658100,490
1573659000,386
1573659900,364
1573660800,432
1573661700,414
1573662600,312
1573663500,418
1573664400,326
1573665300,256
1573666200,318
1573667100,370
1573668000,368
1573668900,492
1573669800,588
1573670700,438
1573671600,442
1573672500,378
1573673400,314
1573674300,400
1573675200,356
1573676100,400
1573677000,420
1573677900,334
1573678800,396
1573679700,478
1573680600,374
1573681500,530
1573682400,340
1573683300,254
1573684200,236
1573685100,322
1573686000,286
1573686900,252
1573687800,324
1573688700,274
1573689600,226
1573690500,284
1573691400,276
1573692300,224
1573693200,230
1573694100,168
1573695000,214
1573695900,218
1573696800,188
1573697700,184
1573698600,320
1573699500,252
1573700400,122
1573701300,306
1573702200,220
1573703100,326
1573704000,470
1573704900,328
1573705800,158
1573706700,252
1573707600,268
1573708500,214
1573709400,184
1573710300,174
1573711200,208
1573712100,190
1573713000,186
1573713900,244
1573714800,228
1573715700,290
1573716600,292
1573717500,322
1573718400,278
1573719300,328
1573720200,464
1573721100,210
1573722000,234
1573722900,294
1573723800,206
1573724700,880
1573725600,768
1573726500,292
1573727400,1486
1573728300,1174
1573729200,482
1573730100,358
1573731000,522
1573731900,634
1573732800,354
1573733700,254
1573734600,264
1573735500,300
1573736400,260
1573737300,244
1573738200,294
1573739100,282
1573740000,430
1573740900,334
1573741800,344
1573742700,292
1573743600,258
1573744500,270
1573745400,334
1573746300,1018
1573747200,490
1573748100,886
1573749000,1330
1573749900,420
1573750800,464
1573751700,428
1573752600,596
1573753500,550
1573754400,444
1573755300,490
1573756200,554
1573757100,448
1573758000,544
1573758900,396
1573759800,458
1573760700,444
1573761600,422
1573762500,448
1573763400,420
1573764300,416
1573765200,384
1573766100,514
1573767000,458
1573767900,426
1573768800,516
1573769700,318
1573770600,338
1573771500,352
1573772400,294
1573773300,230
1573774200,224
1573775100,254
1573776000,282
1573776900,286
1573777800,228
1573778700,176
1573779600,168
1573780500,158
1573781400,234
1573782300,196
1573783200,164
1573784100,196
1573785000,172
1573785900,262
1573786800,222
1573787700,192
1573788600,198
1573789500,288
1573790400,392
1573791300,294
1573792200,282
1573793100,416
1573794000,240
1573794900,224
1573795800,172
1573796700,304
1573797600,184
1573798500,128
1573799400,212
1573800300,200
1573801200,148
1573802100,266
1573803000,236
1573803900,194
1573804800,228
1573805700,200
1573806600,134
1573807500,216
1573808400,212
1573809300,208
1573810200,216
1573811100,248
1573812000,722
1573812900,754
1573813800,1022
1573814700,1064
1573815600,746
1573816500,218
1573817400,242
1573818300,496
1573819200,238
1573820100,174
1573821000,196
1573821900,250
1573822800,186
1573823700,208
1573824600,286
1573825500,120
1573826400,138
1573827300,268
1573828200,324
1573829100,284
1573830000,402
1573830900,372
1573831800,556
1573832700,462
1573833600,412
1573834500,428
1573835400,382
1573836300,280
1573837200,420
1573838100,502
1573839000,536
1573839900,446
1573840800,486
1573841700,412
1573842600,588
1573843500,510
1573844400,438
1573845300,392
1573846200,492
1573847100,422
1573848000,464
1573848900,470
1573849800,420
1573850700,420
1573851600,420
1573852500,468
1573853400,458
1573854300,518
1573855200,330
1573856100,300
1573857000,270
1573857900,296
1573858800,282
1573859700,216
1573860600,242
1573861500,254
1573862400,232
1573863300,304
1573864200,226
1573865100,178
1573866000,148
1573866900,146
1573867800,248
1573868700,196
1573869600,150
1573870500,164
1573871400,242
1573872300,200
1573873200,196
1573874100,266
1573875000,202
1573875900,286
1573876800,478
1573877700,310
1573878600,214
1573879500,212
1573880400,236
1573881300,136
1573882200,142
1573883100,230
1573884000,216
1573884900,136
1573885800,134
1573886700,184
1573887600,398
1573888500,250
1573889400,214
1573890300,262
1573891200,550
1573892100,1544
1573893000,836
1573893900,228
1573894800,196
1573895700,332
1573896600,190
1573897500,170
1573898400,264
1573899300,652
1573900200,1854
1573901100,572
1573902000,284
1573902900,274
1573903800,338
1573904700,286
1573905600,552
1573906500,188
1573907400,224
1573908300,306
1573909200,180
1573910100,212
1573911000,228
1573911900,170
1573912800,302
1573913700,322
1573914600,170
1573915500,270
1573916400,592
1573917300,1764
1573918200,772
1573919100,1262
1573920000,1082
1573920900,602
1573921800,698
1573922700,638
1573923600,650
1573924500,560
1573925400,474
1573926300,506
1573927200,596
1573928100,590
1573929000,452
1573929900,430
1573930800,348
1573931700,430
1573932600,502
1573933500,420
1573934400,436
1573935300,436
1573936200,410
1573937100,346
1573938000,356
1573938900,358
1573939800,346
1573940700,348
1573941600,286
1573942500,370
1573943400,364
1573944300,286
1573945200,362
1573946100,344
1573947000,174
1573947900,250
1573948800,340
1573949700,402
1573950600,208
1573951500,242
1573952400,144
1573953300,150
1573954200,280
1573955100,176
1573956000,110
1573956900,230
1573957800,180
1573958700,176
1573959600,306
1573960500,202
1573961400,160
1573962300,174
1573963200,236
1573964100,178
1573965000,196
1573965900,230
1573966800,192
1573967700,114
1573968600,238
1573969500,200
1573970400,124
1573971300,618
1573972200,1114
1573973100,322
1573974000,302
1573974900,1076
1573975800,680
1573976700,282
1573977600,270
1573978500,360
1573979400,1290
1573980300,1392
1573981200,1170
1573982100,1290
1573983000,1102
1573983900,1426
1573984800,966
1573985700,940
1573986600,2630
1573987500,2936
1573988400,2542
1573989300,3168
1573990200,1476
1573991100,1232
1573992000,1120
1573992900,1194
1573993800,2180
1573994700,1708
1573995600,1734
1573996500,1414
1573997400,1242
1573998300,1198
1573999200,438
1574000100,534
1574001000,2084
1574001900,1230
1574002800,990
1574003700,636
1574004600,518
1574005500,478
1574006400,398
1574007300,538
1574008200,464
1574009100,592
1574010000,1350
1574010900,1328
1574011800,550
1574012700,320
1574013600,352
1574014500,450
1574015400,306
1574016300,396
1574017200,420
1574018100,200
1574019000,280
1574019900,290
1574020800,168
1574021700,212
1574022600,282
1574023500,172
1574024400,290
1574025300,236
1574026200,150
1574027100,178
1574028000,204
1574028900,132
1574029800,328
1574030700,276
1574031600,358
