,power
1569283200,310
1569284100,290
1569285000,283
1569285900,311
1569286800,292
1569287700,300
1569288600,337
1569289500,274
1569290400,276
1569291300,264
1569292200,248
1569293100,270
1569294000,290
1569294900,275
1569295800,1172
1569296700,2094
1569297600,2869
1569298500,3093
1569299400,3189
1569300300,3121
1569301200,2193
1569302100,2979
1569303000,5704
1569303900,2104
1569304800,363
1569305700,393
1569306600,447
1569307500,381
1569308400,406
1569309300,373
1569310200,605
1569311100,378
1569312000,374
1569312900,365
1569313800,475
1569314700,402
1569315600,383
1569316500,399
1569317400,456
1569318300,380
1569319200,319
1569320100,333
1569321000,417
1569321900,340
1569322800,332
1569323700,318
1569324600,353
1569325500,359
1569326400,474
1569327300,344
1569328200,298
1569329100,334
1569330000,328
1569330900,352
1569331800,418
1569332700,730
1569333600,395
1569334500,1432
1569335400,1748
1569336300,2528
1569337200,2887
1569338100,2869
1569339000,2906
1569339900,2159
1569340800,4471
1569341700,3459
1569342600,680
1569343500,411
1569344400,586
1569345300,624
1569346200,670
1569347100,620
1569348000,735
1569348900,728
1569349800,709
1569350700,700
1569351600,753
1569352500,618
1569353400,751
1569354300,705
1569355200,639
1569356100,509
1569357000,295
1569357900,286
1569358800,323
1569359700,316
1569360600,258
1569361500,304
1569362400,267
1569363300,268
1569364200,303
1569365100,282
1569366000,317
1569366900,295
1569367800,274
1569368700,296
1569369600,312
1569370500,260
1569371400,288
1569372300,289
1569373200,273
1569374100,303
1569375000,344
1569375900,245
1569376800,272
1569377700,235
1569378600,255
1569379500,290
1569380400,547
1569381300,231
1569382200,628
1569383100,1638
1569384000,1861
1569384900,3052
1569385800,2953
1569386700,2942
1569387600,2164
1569388500,3602
1569389400,5252
1569390300,2059
1569391200,1404
1569392100,369
1569393000,397
1569393900,443
1569394800,761
1569395700,539
1569396600,356
1569397500,825
1569398400,525
1569399300,335
1569400200,369
1569401100,321
1569402000,326
1569402900,350
1569403800,384
1569404700,450
1569405600,510
1569406500,331
1569407400,401
1569408300,397
1569409200,447
1569410100,951
1569411000,928
1569411900,391
1569412800,3008
1569413700,438
1569414600,365
1569415500,722
1569416400,1466
1569417300,1096
1569418200,484
1569419100,375
1569420000,357
1569420900,335
1569421800,1462
1569422700,2818
1569423600,2914
1569424500,2951
1569425400,2782
1569426300,1931
1569427200,3530
1569428100,3723
1569429000,1501
1569429900,1418
1569430800,1287
1569431700,938
1569432600,741
1569433500,696
1569434400,639
1569435300,635
1569436200,604
1569437100,1251
1569438000,1215
1569438900,984
1569439800,471
1569440700,463
1569441600,386
1569442500,286
1569443400,256
1569444300,258
1569445200,268
1569446100,276
1569447000,241
1569447900,573
1569448800,274
1569449700,242
1569450600,251
1569451500,247
1569452400,344
1569453300,309
1569454200,263
1569455100,244
1569456000,282
1569456900,247
1569457800,266
1569458700,262
1569459600,296
1569460500,257
1569461400,310
1569462300,256
1569463200,267
1569464100,241
1569465000,219
1569465900,237
1569466800,238
1569467700,288
1569468600,858
1569469500,1918
1569470400,2843
1569471300,2866
1569472200,3175
1569473100,3054
1569474000,2528
1569474900,5087
1569475800,3727
1569476700,1648
1569477600,1556
1569478500,926
1569479400,454
1569480300,592
1569481200,670
1569482100,569
1569483000,1108
1569483900,931
1569484800,469
1569485700,501
1569486600,420
1569487500,323
1569488400,643
1569489300,362
1569490200,463
1569491100,578
1569492000,669
1569492900,641
1569493800,348
1569494700,956
1569495600,571
1569496500,317
1569497400,671
1569498300,645
1569499200,504
1569500100,408
1569501000,303
1569501900,375
1569502800,330
1569503700,323
1569504600,538
1569505500,387
1569506400,411
1569507300,1431
1569508200,2331
1569509100,2860
1569510000,2888
1569510900,2888
1569511800,2264
1569512700,1807
1569513600,4045
1569514500,2569
1569515400,592
1569516300,489
1569517200,613
1569518100,626
1569519000,803
1569519900,907
1569520800,945
1569521700,888
1569522600,798
1569523500,1354
1569524400,938
1569525300,792
1569526200,875
1569527100,650
1569528000,486
1569528900,355
1569529800,336
1569530700,294
1569531600,320
1569532500,263
1569533400,276
1569534300,245
1569535200,247
1569536100,244
1569537000,545
1569537900,292
1569538800,342
1569539700,448
1569540600,217
1569541500,241
1569542400,251
1569543300,235
1569544200,226
1569545100,219
1569546000,284
1569546900,290
1569547800,274
1569548700,246
1569549600,212
1569550500,204
1569551400,250
1569552300,231
1569553200,205
1569554100,277
1569555000,796
1569555900,1569
1569556800,2477
1569557700,3027
1569558600,3293
1569559500,3104
1569560400,2335
1569561300,3319
1569562200,5169
1569563100,2173
1569564000,1371
1569564900,379
1569565800,443
1569566700,429
1569567600,643
1569568500,667
1569569400,342
1569570300,596
1569571200,1163
1569572100,962
1569573000,925
1569573900,907
1569574800,682
1569575700,299
1569576600,350
1569577500,306
1569578400,767
1569579300,349
1569580200,428
1569581100,597
1569582000,362
1569582900,325
1569583800,296
1569584700,884
1569585600,3524
1569586500,988
1569587400,496
1569588300,282
1569589200,551
1569590100,309
1569591000,356
1569591900,422
1569592800,352
1569593700,939
1569594600,1992
1569595500,2596
1569596400,2823
1569597300,2770
1569598200,2214
1569599100,2376
1569600000,4899
1569600900,1979
1569601800,625
1569602700,718
1569603600,847
1569604500,912
1569605400,1071
1569606300,1048
1569607200,670
1569608100,628
1569609000,614
1569609900,1476
1569610800,936
1569611700,843
1569612600,1225
1569613500,846
1569614400,644
1569615300,384
1569616200,290
1569617100,270
1569618000,278
1569618900,288
1569619800,273
1569620700,284
1569621600,278
1569622500,233
1569623400,318
1569624300,286
1569625200,642
1569626100,298
1569627000,266
1569627900,253
1569628800,328
1569629700,284
1569630600,263
1569631500,290
1569632400,331
1569633300,286
1569634200,314
1569635100,266
1569636000,230
1569636900,232
1569637800,256
1569638700,245
1569639600,229
1569640500,295
1569641400,810
1569642300,1743
1569643200,2823
1569644100,3026
1569645000,3190
1569645900,2877
1569646800,2639
1569647700,4681
1569648600,3643
1569649500,1405
1569650400,362
1569651300,444
1569652200,371
1569653100,311
1569654000,347
1569654900,328
1569655800,346
1569656700,359
1569657600,333
1569658500,419
1569659400,488
1569660300,743
1569661200,930
1569662100,717
1569663000,682
1569663900,907
1569664800,463
1569665700,586
1569666600,415
1569667500,367
1569668400,459
1569669300,337
1569670200,361
1569671100,326
1569672000,398
1569672900,523
1569673800,358
1569674700,498
1569675600,335
1569676500,324
1569677400,396
1569678300,532
1569679200,348
1569680100,1433
1569681000,1887
1569681900,2546
1569682800,3181
1569683700,2657
1569684600,2129
1569685500,1675
1569686400,4428
1569687300,3749
1569688200,714
1569689100,404
1569690000,692
1569690900,709
1569691800,881
1569692700,741
1569693600,746
1569694500,690
1569695400,767
1569696300,1119
1569697200,1229
1569698100,779
1569699000,830
1569699900,1082
