,heat
1573516800,5260.0
1573517700,5260.0
1573518600,5260.0
1573519500,5260.0
1573520400,2100.0
1573521300,2100.0
1573522200,2100.0
1573523100,2100.0
1573524000,840.0
1573524900,840.0
1573525800,840.0
1573526700,840.0
1573527600,15760.0
1573528500,15760.0
1573529400,15760.0
1573530300,15760.0
1573531200,31080.0
1573532100,31080.0
1573533000,31080.0
1573533900,31080.0
1573534800,37260.0
1573535700,37260.0
1573536600,37260.0
1573537500,37260.0
1573538400,49160.0
1573539300,49160.0
1573540200,49160.0
1573541100,49160.0
1573542000,41860.0
1573542900,41860.0
1573543800,41860.0
1573544700,41860.0
1573545600,16740.0
1573546500,16740.0
1573547400,16740.0
1573548300,16740.0
1573549200,6700.0
1573550100,6700.0
1573551000,6700.0
1573551900,6700.0
1573552800,2680.0
1573553700,2680.0
1573554600,2680.0
1573555500,2680.0
1573556400,1080.0
1573557300,1080.0
1573558200,1080.0
1573559100,1080.0
1573560000,420.0
1573560900,420.0
1573561800,420.0
1573562700,420.0
1573563600,13000.0
1573564500,13000.0
1573565400,13000.0
1573566300,13000.0
1573567200,30420.0
1573568100,30420.0
1573569000,30420.0
1573569900,30420.0
1573570800,12160.0
1573571700,12160.0
1573572600,12160.0
1573573500,12160.0
1573574400,21920.0
1573575300,21920.0
1573576200,21920.0
1573577100,21920.0
1573578000,27360.0
1573578900,27360.0
1573579800,27360.0
1573580700,27360.0
1573581600,25280.0
1573582500,25280.0
1573583400,25280.0
1573584300,25280.0
1573585200,10120.0
1573586100,10120.0
1573587000,10120.0
1573587900,10120.0
1573588800,4040.0
1573589700,4040.0
1573590600,4040.0
1573591500,4040.0
1573592400,1620.0
1573593300,1620.0
1573594200,1620.0
1573595100,1620.0
1573596000,15360.0
1573596900,15360.0
1573597800,15360.0
1573598700,15360.0
1573599600,6140.0
1573600500,6140.0
1573601400,6140.0
1573602300,6140.0
1573603200,2460.0
1573604100,2460.0
1573605000,2460.0
1573605900,2460.0
1573606800,12000.0
1573607700,12000.0
1573608600,12000.0
1573609500,12000.0
1573610400,22960.0
1573611300,22960.0
1573612200,22960.0
1573613100,22960.0
1573614000,28620.0
1573614900,28620.0
1573615800,28620.0
1573616700,28620.0
1573617600,25820.0
1573618500,25820.0
1573619400,25820.0
1573620300,25820.0
1573621200,10320.0
1573622100,10320.0
1573623000,10320.0
1573623900,10320.0
1573624800,23280.0
1573625700,23280.0
1573626600,23280.0
1573627500,23280.0
1573628400,31440.0
1573629300,31440.0
1573630200,31440.0
1573631100,31440.0
1573632000,29980.0
1573632900,29980.0
1573633800,29980.0
1573634700,29980.0
1573635600,12000.0
1573636500,12000.0
1573637400,12000.0
1573638300,12000.0
1573639200,4800.0
1573640100,4800.0
1573641000,4800.0
1573641900,4800.0
1573642800,1920.0
1573643700,1920.0
1573644600,1920.0
1573645500,1920.0
1573646400,8720.0
1573647300,8720.0
1573648200,8720.0
1573649100,8720.0
1573650000,17340.0
1573650900,17340.0
1573651800,17340.0
1573652700,17340.0
1573653600,29140.0
1573654500,29140.0
1573655400,29140.0
1573656300,29140.0
1573657200,32440.0
1573658100,32440.0
1573659000,32440.0
1573659900,32440.0
1573660800,12980.0
1573661700,12980.0
1573662600,12980.0
1573663500,12980.0
1573664400,5200.0
1573665300,5200.0
1573666200,5200.0
1573667100,5200.0
1573668000,2080.0
1573668900,2080.0
1573669800,2080.0
1573670700,2080.0
1573671600,14660.0
1573672500,14660.0
1573673400,14660.0
1573674300,14660.0
1573675200,27800.0
1573676100,27800.0
1573677000,27800.0
1573677900,27800.0
1573678800,33800.0
1573679700,33800.0
1573680600,33800.0
1573681500,33800.0
1573682400,29520.0
1573683300,29520.0
1573684200,29520.0
1573685100,29520.0
1573686000,11800.0
1573686900,11800.0
1573687800,11800.0
1573688700,11800.0
1573689600,4720.0
1573690500,4720.0
1573691400,4720.0
1573692300,4720.0
1573693200,1900.0
1573694100,1900.0
1573695000,1900.0
1573695900,1900.0
1573696800,760.0
1573697700,760.0
1573698600,760.0
1573699500,760.0
1573700400,300.0
1573701300,300.0
1573702200,300.0
1573703100,300.0
1573704000,120.0
