,heat
1573516800,17060.0
1573517700,17060.0
1573518600,17060.0
1573519500,17060.0
1573520400,33380.0
1573521300,33380.0
1573522200,33380.0
1573523100,33380.0
1573524000,40060.0
1573524900,40060.0
1573525800,40060.0
1573526700,40060.0
1573527600,33140.0
1573528500,33140.0
1573529400,33140.0
1573530300,33140.0
1573531200,13260.0
1573532100,13260.0
1573533000,13260.0
1573533900,13260.0
1573534800,5300.0
1573535700,5300.0
1573536600,5300.0
1573537500,5300.0
1573538400,2120.0
1573539300,2120.0
1573540200,2120.0
1573541100,2120.0
1573542000,840.0
1573542900,840.0
1573543800,840.0
1573544700,840.0
1573545600,16500.0
1573546500,16500.0
1573547400,16500.0
1573548300,16500.0
1573549200,31760.0
1573550100,31760.0
1573551000,31760.0
1573551900,31760.0
1573552800,37340.0
1573553700,37340.0
1573554600,37340.0
1573555500,37340.0
1573556400,29980.0
1573557300,29980.0
1573558200,29980.0
1573559100,29980.0
1573560000,12000.0
1573560900,12000.0
1573561800,12000.0
1573562700,12000.0
1573563600,4800.0
1573564500,4800.0
1573565400,4800.0
1573566300,4800.0
1573567200,1920.0
1573568100,1920.0
1573569000,1920.0
1573569900,1920.0
1573570800,760.0
1573571700,760.0
1573572600,760.0
1573573500,760.0
1573574400,12380.0
1573575300,12380.0
1573576200,12380.0
1573577100,12380.0
1573578000,25440.0
1573578900,25440.0
1573579800,25440.0
1573580700,25440.0
1573581600,31860.0
1573582500,31860.0
1573583400,31860.0
1573584300,31860.0
1573585200,28200.0
1573586100,28200.0
1573587000,28200.0
1573587900,28200.0
1573588800,11280.0
1573589700,11280.0
1573590600,11280.0
1573591500,11280.0
1573592400,4520.0
1573593300,4520.0
1573594200,4520.0
1573595100,4520.0
1573596000,1800.0
1573596900,1800.0
1573597800,1800.0
1573598700,1800.0
1573599600,720.0
1573600500,720.0
1573601400,720.0
1573602300,720.0
1573603200,18300.0
1573604100,18300.0
1573605000,18300.0
1573605900,18300.0
1573606800,33860.0
1573607700,33860.0
1573608600,33860.0
1573609500,33860.0
1573610400,38040.0
1573611300,38040.0
1573612200,38040.0
1573613100,38040.0
1573614000,28680.0
1573614900,28680.0
1573615800,28680.0
1573616700,28680.0
1573617600,11460.0
1573618500,11460.0
1573619400,11460.0
1573620300,11460.0
1573621200,4580.0
1573622100,4580.0
1573623000,4580.0
1573623900,4580.0
1573624800,1840.0
1573625700,1840.0
1573626600,1840.0
1573627500,1840.0
1573628400,740.0
1573629300,740.0
1573630200,740.0
1573631100,740.0
1573632000,13760.0
1573632900,13760.0
1573633800,13760.0
1573634700,13760.0
1573635600,26920.0
1573636500,26920.0
1573637400,26920.0
1573638300,26920.0
1573639200,32780.0
1573640100,32780.0
1573641000,32780.0
1573641900,32780.0
1573642800,27920.0
1573643700,27920.0
1573644600,27920.0
1573645500,27920.0
1573646400,11180.0
1573647300,11180.0
1573648200,11180.0
1573649100,11180.0
1573650000,4460.0
1573650900,4460.0
1573651800,4460.0
1573652700,4460.0
1573653600,1780.0
1573654500,1780.0
1573655400,1780.0
1573656300,1780.0
1573657200,720.0
1573658100,720.0
1573659000,720.0
1573659900,720.0
1573660800,17220.0
1573661700,17220.0
1573662600,17220.0
1573663500,17220.0
1573664400,32180.0
1573665300,32180.0
1573666200,32180.0
1573667100,32180.0
1573668000,36800.0
1573668900,36800.0
1573669800,36800.0
1573670700,36800.0
1573671600,28700.0
1573672500,28700.0
