,heat
1573516800,7200.0
1573517700,7200.0
1573518600,7200.0
1573519500,7200.0
1573520400,2880.0
1573521300,2880.0
1573522200,2880.0
1573523100,2880.0
1573524000,1160.0
1573524900,1160.0
1573525800,1160.0
1573526700,1160.0
1573527600,460.0
1573528500,460.0
1573529400,460.0
1573530300,460.0
1573531200,180.0
1573532100,180.0
1573533000,180.0
1573533900,180.0
1573534800,80.0
1573535700,80.0
1573536600,80.0
1573537500,80.0
1573538400,63340.0
1573539300,63340.0
1573540200,63340.0
1573541100,63340.0
1573542000,100740.0
1573542900,100740.0
1573543800,100740.0
1573544700,100740.0
1573545600,90140.0
1573546500,90140.0
1573547400,90140.0
1573548300,90140.0
1573549200,36060.0
1573550100,36060.0
1573551000,36060.0
1573551900,36060.0
1573552800,14420.0
1573553700,14420.0
1573554600,14420.0
1573555500,14420.0
1573556400,5760.0
1573557300,5760.0
1573558200,5760.0
1573559100,5760.0
1573560000,2300.0
1573560900,2300.0
1573561800,2300.0
1573562700,2300.0
1573563600,920.0
1573564500,920.0
1573565400,920.0
1573566300,920.0
1573567200,360.0
1573568100,360.0
1573569000,360.0
1573569900,360.0
1573570800,140.0
1573571700,140.0
1573572600,140.0
1573573500,140.0
1573574400,60.0
1573575300,60.0
1573576200,60.0
1573577100,60.0
1573578000,17400.0
1573578900,17400.0
1573579800,17400.0
1573580700,17400.0
1573581600,6960.0
1573582500,6960.0
1573583400,6960.0
1573584300,6960.0
1573585200,33060.0
1573586100,33060.0
1573587000,33060.0
1573587900,33060.0
1573588800,50360.0
1573589700,50360.0
1573590600,50360.0
1573591500,50360.0
1573592400,48720.0
1573593300,48720.0
1573594200,48720.0
1573595100,48720.0
1573596000,19480.0
1573596900,19480.0
1573597800,19480.0
1573598700,19480.0
1573599600,7800.0
1573600500,7800.0
1573601400,7800.0
1573602300,7800.0
1573603200,3120.0
1573604100,3120.0
1573605000,3120.0
1573605900,3120.0
1573606800,1240.0
1573607700,1240.0
1573608600,1240.0
1573609500,1240.0
1573610400,500.0
1573611300,500.0
1573612200,500.0
1573613100,500.0
1573614000,200.0
1573614900,200.0
1573615800,200.0
1573616700,200.0
1573617600,80.0
1573618500,80.0
1573619400,80.0
1573620300,80.0
1573621200,40.0
1573622100,40.0
1573623000,40.0
1573623900,40.0
1573624800,61040.0
1573625700,61040.0
1573626600,61040.0
1573627500,61040.0
1573628400,96280.0
1573629300,96280.0
1573630200,96280.0
1573631100,96280.0
1573632000,85200.0
1573632900,85200.0
1573633800,85200.0
1573634700,85200.0
1573635600,34080.0
1573636500,34080.0
1573637400,34080.0
1573638300,34080.0
1573639200,13640.0
1573640100,13640.0
1573641000,13640.0
1573641900,13640.0
1573642800,5460.0
1573643700,5460.0
1573644600,5460.0
1573645500,5460.0
1573646400,2180.0
1573647300,2180.0
1573648200,2180.0
1573649100,2180.0
1573650000,880.0
1573650900,880.0
1573651800,880.0
1573652700,880.0
1573653600,340.0
1573654500,340.0
1573655400,340.0
1573656300,340.0
1573657200,140.0
1573658100,140.0
1573659000,140.0
1573659900,140.0
1573660800,60.0
1573661700,60.0
1573662600,60.0
1573663500,60.0
1573664400,20.0
1573665300,20.0
1573666200,20.0
1573667100,20.0
1573668000,31900.0
1573668900,31900.0
1573669800,31900.0
1573670700,31900.0
1573671600,56080.0
1573672500,56080.0
1573673400,56080.0
1573674300,56080.0
1573675200,58360.0
1573676100,58360.0
1573677000,58360.0
1573677900,58360.0
1573678800,38060.0
1573679700,38060.0
1573680600,38060.0
1573681500,38060.0
1573682400,15220.0
1573683300,15220.0
1573684200,15220.0
1573685100,15220.0
1573686000,6080.0
1573686900,6080.0
1573687800,6080.0
1573688700,6080.0
1573689600,2440.0
1573690500,2440.0
1573691400,2440.0
1573692300,2440.0
1573693200,980.0
1573694100,980.0
1573695000,980.0
1573695900,980.0
1573696800,400.0
1573697700,400.0
1573698600,400.0
1573699500,400.0
1573700400,160.0
1573701300,160.0
1573702200,160.0
1573703100,160.0
1573704000,60.0
1573704900,60.0
1573705800,60.0
1573706700,60.0
1573707600,20.0
1573708500,20.0
1573709400,20.0
1573710300,20.0
1573711200,64600.0
1573712100,64600.0
