,heat
1573516800,6020.0
1573517700,6020.0
1573518600,6020.0
1573519500,6020.0
1573520400,2400.0
1573521300,2400.0
1573522200,2400.0
1573523100,2400.0
1573524000,960.0
1573524900,960.0
1573525800,960.0
1573526700,960.0
1573527600,17600.0
1573528500,17600.0
1573529400,17600.0
1573530300,17600.0
1573531200,7040.0
1573532100,7040.0
1573533000,7040.0
1573533900,7040.0
1573534800,32260.0
1573535700,32260.0
1573536600,32260.0
1573537500,32260.0
1573538400,48980.0
1573539300,48980.0
1573540200,48980.0
1573541100,48980.0
1573542000,47560.0
1573542900,47560.0
1573543800,47560.0
1573544700,47560.0
1573545600,19020.0
1573546500,19020.0
1573547400,19020.0
1573548300,19020.0
1573549200,7600.0
1573550100,7600.0
1573551000,7600.0
1573551900,7600.0
1573552800,3040.0
1573553700,3040.0
1573554600,3040.0
1573555500,3040.0
1573556400,1220.0
1573557300,1220.0
1573558200,1220.0
1573559100,1220.0
1573560000,12680.0
1573560900,12680.0
1573561800,12680.0
1573562700,12680.0
1573563600,26300.0
1573564500,26300.0
1573565400,26300.0
1573566300,26300.0
1573567200,10520.0
1573568100,10520.0
1573569000,10520.0
1573569900,10520.0
1573570800,21680.0
1573571700,21680.0
1573572600,21680.0
1573573500,21680.0
1573574400,29320.0
1573575300,29320.0
1573576200,29320.0
1573577100,29320.0
1573578000,29480.0
1573578900,29480.0
1573579800,29480.0
1573580700,29480.0
1573581600,22080.0
1573582500,22080.0
1573583400,22080.0
1573584300,22080.0
1573585200,8840.0
1573586100,8840.0
1573587000,8840.0
1573587900,8840.0
1573588800,3540.0
1573589700,3540.0
1573590600,3540.0
1573591500,3540.0
1573592400,1420.0
1573593300,1420.0
1573594200,1420.0
1573595100,1420.0
1573596000,16820.0
1573596900,16820.0
1573597800,16820.0
1573598700,16820.0
1573599600,32040.0
1573600500,32040.0
1573601400,32040.0
1573602300,32040.0
1573603200,38040.0
1573604100,38040.0
1573605000,38040.0
1573605900,38040.0
1573606800,31760.0
1573607700,31760.0
1573608600,31760.0
1573609500,31760.0
1573610400,12700.0
1573611300,12700.0
1573612200,12700.0
1573613100,12700.0
1573614000,5080.0
1573614900,5080.0
1573615800,5080.0
1573616700,5080.0
1573617600,2040.0
1573618500,2040.0
1573619400,2040.0
1573620300,2040.0
1573621200,820.0
1573622100,820.0
1573623000,820.0
1573623900,820.0
1573624800,19420.0
1573625700,19420.0
1573626600,19420.0
1573627500,19420.0
1573628400,36400.0
1573629300,36400.0
1573630200,36400.0
1573631100,36400.0
1573632000,41540.0
1573632900,41540.0
1573633800,41540.0
1573634700,41540.0
1573635600,31520.0
1573636500,31520.0
1573637400,31520.0
1573638300,31520.0
1573639200,12600.0
1573640100,12600.0
1573641000,12600.0
1573641900,12600.0
1573642800,5040.0
1573643700,5040.0
1573644600,5040.0
1573645500,5040.0
1573646400,2020.0
1573647300,2020.0
1573648200,2020.0
1573649100,2020.0
1573650000,800.0
1573650900,800.0
1573651800,800.0
1573652700,800.0
1573653600,320.0
