,heat
1573516800,1000.0
1573517700,1000.0
1573518600,1000.0
1573519500,1000.0
1573520400,400.0
1573521300,400.0
1573522200,400.0
1573523100,400.0
1573524000,160.0
1573524900,160.0
1573525800,160.0
1573526700,160.0
1573527600,60.0
1573528500,60.0
1573529400,60.0
1573530300,60.0
1573531200,20.0
1573532100,20.0
1573533000,20.0
1573533900,20.0
1573534800,0.0
1573535700,0.0
1573536600,0.0
1573537500,0.0
1573538400,78220.0
1573539300,78220.0
1573540200,78220.0
1573541100,78220.0
1573542000,119480.0
1573542900,119480.0
1573543800,119480.0
1573544700,119480.0
1573545600,47780.0
1573546500,47780.0
1573547400,47780.0
1573548300,47780.0
1573549200,19120.0
1573550100,19120.0
1573551000,19120.0
1573551900,19120.0
1573552800,7640.0
1573553700,7640.0
1573554600,7640.0
1573555500,7640.0
1573556400,3060.0
1573557300,3060.0
1573558200,3060.0
1573559100,3060.0
1573560000,1220.0
1573560900,1220.0
1573561800,1220.0
1573562700,1220.0
1573563600,500.0
1573564500,500.0
1573565400,500.0
1573566300,500.0
1573567200,200.0
1573568100,200.0
1573569000,200.0
1573569900,200.0
1573570800,11840.0
1573571700,11840.0
1573572600,11840.0
1573573500,11840.0
1573574400,26080.0
1573575300,26080.0
1573576200,26080.0
1573577100,26080.0
1573578000,34540.0
1573578900,34540.0
1573579800,34540.0
1573580700,34540.0
1573581600,32160.0
1573582500,32160.0
1573583400,32160.0
1573584300,32160.0
1573585200,12860.0
1573586100,12860.0
1573587000,12860.0
1573587900,12860.0
1573588800,5140.0
1573589700,5140.0
1573590600,5140.0
1573591500,5140.0
1573592400,2060.0
1573593300,2060.0
1573594200,2060.0
1573595100,2060.0
1573596000,820.0
1573596900,820.0
1573597800,820.0
1573598700,820.0
1573599600,320.0
1573600500,320.0
1573601400,320.0
1573602300,320.0
1573603200,140.0
1573604100,140.0
1573605000,140.0
1573605900,140.0
1573606800,60.0
1573607700,60.0
1573608600,60.0
1573609500,60.0
1573610400,20.0
1573611300,20.0
1573612200,20.0
1573613100,20.0
1573614000,0.0
1573614900,0.0
1573615800,0.0
1573616700,0.0
1573617600,0.0
1573618500,0.0
1573619400,0.0
1573620300,0.0
1573621200,13360.0
1573622100,13360.0
1573623000,13360.0
1573623900,13360.0
1573624800,5340.0
1573625700,5340.0
1573626600,5340.0
1573627500,5340.0
1573628400,91060.0
1573629300,91060.0
1573630200,91060.0
1573631100,91060.0
1573632000,130960.0
1573632900,130960.0
1573633800,130960.0
1573634700,130960.0
1573635600,100640.0
1573636500,100640.0
1573637400,100640.0
1573638300,100640.0
1573639200,40260.0
1573640100,40260.0
1573641000,40260.0
1573641900,40260.0
1573642800,16100.0
1573643700,16100.0
1573644600,16100.0
1573645500,16100.0
1573646400,6440.0
1573647300,6440.0
1573648200,6440.0
1573649100,6440.0
1573650000,2580.0
1573650900,2580.0
1573651800,2580.0
1573652700,2580.0
1573653600,1040.0
1573654500,1040.0
1573655400,1040.0
1573656300,1040.0
1573657200,420.0
1573658100,420.0
1573659000,420.0
1573659900,420.0
1573660800,160.0
1573661700,160.0
1573662600,160.0
1573663500,160.0
1573664400,60.0
1573665300,60.0
1573666200,60.0
1573667100,60.0
1573668000,20.0
1573668900,20.0
1573669800,20.0
1573670700,20.0
1573671600,20.0
1573672500,20.0
1573673400,20.0
1573674300,20.0
1573675200,0.0
1573676100,0.0
1573677000,0.0
1573677900,0.0
1573678800,11600.0
1573679700,11600.0
1573680600,11600.0
1573681500,11600.0
1573682400,27140.0
1573683300,27140.0
1573684200,27140.0
1573685100,27140.0
1573686000,10860.0
1573686900,10860.0
1573687800,10860.0
1573688700,10860.0
1573689600,4340.0
1573690500,4340.0
1573691400,4340.0
1573692300,4340.0
1573693200,1740.0
1573694100,1740.0
1573695000,1740.0
1573695900,1740.0
1573696800,700.0
1573697700,700.0
1573698600,700.0
1573699500,700.0
1573700400,280.0
1573701300,280.0
1573702200,280.0
1573703100,280.0
1573704000,120.0
1573704900,120.0
1573705800,120.0
1573706700,120.0
1573707600,40.0
1573708500,40.0
1573709400,40.0
1573710300,40.0
1573711200,77320.0
1573712100,77320.0
1573713000,77320.0
1573713900,77320.0
1573714800,118340.0
1573715700,118340.0
1573716600,118340.0
1573717500,118340.0
1573718400,98920.0
1573719300,98920.0
1573720200,98920.0
1573721100,98920.0
1573722000,39560.0
1573722900,39560.0
1573723800,39560.0
1573724700,39560.0
1573725600,15820.0
1573726500,15820.0
1573727400,15820.0
1573728300,15820.0
1573729200,6340.0
1573730100,6340.0
1573731000,6340.0
1573731900,6340.0
1573732800,2540.0
1573733700,2540.0
1573734600,2540.0
1573735500,2540.0
1573736400,1020.0
1573737300,1020.0
1573738200,1020.0
1573739100,1020.0
1573740000,400.0
1573740900,400.0
1573741800,400.0
1573742700,400.0
1573743600,160.0
1573744500,160.0
1573745400,160.0
1573746300,160.0
1573747200,60.0
1573748100,60.0
1573749000,60.0
1573749900,60.0
1573750800,20.0
1573751700,20.0
1573752600,20.0
1573753500,20.0
1573754400,0.0
1573755300,0.0
1573756200,0.0
1573757100,0.0
1573758000,0.0
1573758900,0.0
1573759800,0.0
1573760700,0.0
1573761600,13200.0
1573762500,13200.0
1573763400,13200.0
1573764300,13200.0
1573765200,29760.0
1573766100,29760.0
1573767000,29760.0
1573767900,29760.0
1573768800,39800.0
1573769700,39800.0
1573770600,39800.0
1573771500,39800.0
1573772400,15920.0
1573773300,15920.0
1573774200,15920.0
1573775100,15920.0
1573776000,6360.0
1573776900,6360.0
1573777800,6360.0
1573778700,6360.0
1573779600,2540.0
1573780500,2540.0
1573781400,2540.0
1573782300,2540.0
1573783200,1020.0
1573784100,1020.0
1573785000,1020.0
1573785900,1020.0
1573786800,400.0
1573787700,400.0
1573788600,400.0
1573789500,400.0
1573790400,160.0
1573791300,160.0
1573792200,160.0
1573793100,160.0
1573794000,60.0
1573794900,60.0
1573795800,60.0
1573796700,60.0
1573797600,66580.0
1573798500,66580.0
1573799400,66580.0
1573800300,66580.0
1573801200,104500.0
1573802100,104500.0
1573803000,104500.0
1573803900,104500.0
1573804800,91740.0
1573805700,91740.0
1573806600,91740.0
1573807500,91740.0
1573808400,36700.0
1573809300,36700.0
1573810200,36700.0
1573811100,36700.0
1573812000,14680.0
1573812900,14680.0
1573813800,14680.0
1573814700,14680.0
1573815600,5880.0
1573816500,5880.0
1573817400,5880.0
1573818300,5880.0
1573819200,2340.0
1573820100,2340.0
1573821000,2340.0
1573821900,2340.0
1573822800,940.0
1573823700,940.0
1573824600,940.0
1573825500,940.0
1573826400,380.0
1573827300,380.0
1573828200,380.0
1573829100,380.0
1573830000,140.0
1573830900,140.0
1573831800,140.0
1573832700,140.0
1573833600,60.0
1573834500,60.0
1573835400,60.0
1573836300,60.0
1573837200,20.0
1573838100,20.0
1573839000,20.0
1573839900,20.0
1573840800,12400.0
1573841700,12400.0
1573842600,12400.0
1573843500,12400.0
1573844400,29520.0
1573845300,29520.0
1573846200,29520.0
1573847100,29520.0
1573848000,42180.0
1573848900,42180.0
1573849800,42180.0
1573850700,42180.0
1573851600,43140.0
1573852500,43140.0
1573853400,43140.0
1573854300,43140.0
1573855200,32300.0
1573856100,32300.0
1573857000,32300.0
1573857900,32300.0
1573858800,12920.0
1573859700,12920.0
1573860600,12920.0
1573861500,12920.0
1573862400,5160.0
1573863300,5160.0
1573864200,5160.0
1573865100,5160.0
1573866000,2060.0
1573866900,2060.0
1573867800,2060.0
1573868700,2060.0
1573869600,820.0
1573870500,820.0
1573871400,820.0
1573872300,820.0
1573873200,340.0
1573874100,340.0
1573875000,340.0
1573875900,340.0
1573876800,140.0
1573877700,140.0
1573878600,140.0
1573879500,140.0
1573880400,60.0
1573881300,60.0
1573882200,60.0
1573883100,60.0
1573884000,20.0
1573884900,20.0
1573885800,20.0
1573886700,20.0
1573887600,92000.0
1573888500,92000.0
1573889400,92000.0
1573890300,92000.0
1573891200,36800.0
1573892100,36800.0
1573893000,36800.0
1573893900,36800.0
1573894800,78300.0
1573895700,78300.0
1573896600,78300.0
1573897500,78300.0
1573898400,82080.0
1573899300,82080.0
1573900200,82080.0
1573901100,82080.0
1573902000,47440.0
1573902900,47440.0
1573903800,47440.0
1573904700,47440.0
1573905600,18980.0
1573906500,18980.0
1573907400,18980.0
1573908300,18980.0
1573909200,7580.0
1573910100,7580.0
1573911000,7580.0
1573911900,7580.0
1573912800,3040.0
1573913700,3040.0
1573914600,3040.0
1573915500,3040.0
1573916400,1220.0
1573917300,1220.0
1573918200,1220.0
1573919100,1220.0
1573920000,480.0
1573920900,480.0
1573921800,480.0
1573922700,480.0
1573923600,200.0
1573924500,200.0
1573925400,200.0
1573926300,200.0
1573927200,80.0
1573928100,80.0
1573929000,80.0
1573929900,80.0
