,heat
1573516800,11760.0
1573517700,11760.0
1573518600,11760.0
1573519500,11760.0
1573520400,23560.0
1573521300,23560.0
1573522200,23560.0
1573523100,23560.0
1573524000,28720.0
1573524900,28720.0
1573525800,28720.0
1573526700,28720.0
1573527600,11480.0
1573528500,11480.0
1573529400,11480.0
1573530300,11480.0
1573531200,4600.0
1573532100,4600.0
1573533000,4600.0
1573533900,4600.0
1573534800,1840.0
1573535700,1840.0
1573536600,1840.0
1573537500,1840.0
1573538400,11780.0
1573539300,11780.0
1573540200,11780.0
1573541100,11780.0
1573542000,21880.0
1573542900,21880.0
1573543800,21880.0
1573544700,21880.0
1573545600,25760.0
1573546500,25760.0
1573547400,25760.0
1573548300,25760.0
1573549200,21040.0
1573550100,21040.0
1573551000,21040.0
1573551900,21040.0
1573552800,8420.0
1573553700,8420.0
1573554600,8420.0
1573555500,8420.0
1573556400,3360.0
1573557300,3360.0
1573558200,3360.0
1573559100,3360.0
1573560000,1340.0
1573560900,1340.0
1573561800,1340.0
1573562700,1340.0
1573563600,540.0
1573564500,540.0
1573565400,540.0
1573566300,540.0
1573567200,220.0
1573568100,220.0
1573569000,220.0
1573569900,220.0
1573570800,18800.0
1573571700,18800.0
1573572600,18800.0
1573573500,18800.0
1573574400,31660.0
1573575300,31660.0
1573576200,31660.0
1573577100,31660.0
1573578000,31580.0
1573578900,31580.0
1573579800,31580.0
1573580700,31580.0
1573581600,12640.0
1573582500,12640.0
1573583400,12640.0
1573584300,12640.0
1573585200,5060.0
1573586100,5060.0
1573587000,5060.0
1573587900,5060.0
1573588800,2020.0
1573589700,2020.0
1573590600,2020.0
1573591500,2020.0
1573592400,800.0
1573593300,800.0
1573594200,800.0
1573595100,800.0
1573596000,320.0
1573596900,320.0
1573597800,320.0
1573598700,320.0
1573599600,13600.0
1573600500,13600.0
1573601400,13600.0
1573602300,13600.0
1573603200,24780.0
1573604100,24780.0
1573605000,24780.0
1573605900,24780.0
1573606800,27560.0
1573607700,27560.0
1573608600,27560.0
1573609500,27560.0
1573610400,20540.0
1573611300,20540.0
1573612200,20540.0
1573613100,20540.0
1573614000,8220.0
1573614900,8220.0
1573615800,8220.0
1573616700,8220.0
1573617600,3280.0
1573618500,3280.0
1573619400,3280.0
1573620300,3280.0
1573621200,1320.0
1573622100,1320.0
1573623000,1320.0
1573623900,1320.0
1573624800,520.0
1573625700,520.0
1573626600,520.0
1573627500,520.0
1573628400,11160.0
1573629300,11160.0
1573630200,11160.0
1573631100,11160.0
1573632000,21300.0
1573632900,21300.0
1573633800,21300.0
1573634700,21300.0
1573635600,24500.0
1573636500,24500.0
1573637400,24500.0
1573638300,24500.0
1573639200,17000.0
1573640100,17000.0
1573641000,17000.0
1573641900,17000.0
1573642800,6800.0
1573643700,6800.0
1573644600,6800.0
1573645500,6800.0
1573646400,2720.0
1573647300,2720.0
1573648200,2720.0
1573649100,2720.0
1573650000,1080.0
1573650900,1080.0
1573651800,1080.0
1573652700,1080.0
1573653600,8920.0
1573654500,8920.0
1573655400,8920.0
1573656300,8920.0
1573657200,17580.0
1573658100,17580.0
1573659000,17580.0
1573659900,17580.0
1573660800,21900.0
1573661700,21900.0
1573662600,21900.0
1573663500,21900.0
1573664400,19420.0
1573665300,19420.0
1573666200,19420.0
1573667100,19420.0
1573668000,7780.0
1573668900,7780.0
1573669800,7780.0
1573670700,7780.0
1573671600,3100.0
1573672500,3100.0
1573673400,3100.0
1573674300,3100.0
1573675200,1240.0
1573676100,1240.0
1573677000,1240.0
1573677900,1240.0
1573678800,500.0
1573679700,500.0
1573680600,500.0
1573681500,500.0
1573682400,17020.0
1573683300,17020.0
1573684200,17020.0
1573685100,17020.0
1573686000,29800.0
1573686900,29800.0
1573687800,29800.0
1573688700,29800.0
1573689600,11920.0
1573690500,11920.0
1573691400,11920.0
1573692300,11920.0
1573693200,14520.0
1573694100,14520.0
1573695000,14520.0
1573695900,14520.0
1573696800,15880.0
1573697700,15880.0
1573698600,15880.0
1573699500,15880.0
1573700400,15280.0
1573701300,15280.0
1573702200,15280.0
1573703100,15280.0
1573704000,6120.0
1573704900,6120.0
1573705800,6120.0
1573706700,6120.0
1573707600,2440.0
1573708500,2440.0
1573709400,2440.0
1573710300,2440.0
1573711200,11640.0
1573712100,11640.0
1573713000,11640.0
1573713900,11640.0
1573714800,21180.0
1573715700,21180.0
1573716600,21180.0
1573717500,21180.0
1573718400,24860.0
1573719300,24860.0
1573720200,24860.0
1573721100,24860.0
1573722000,18940.0
1573722900,18940.0
1573723800,18940.0
1573724700,18940.0
1573725600,7580.0
1573726500,7580.0
1573727400,7580.0
1573728300,7580.0
1573729200,3020.0
1573730100,3020.0
1573731000,3020.0
1573731900,3020.0
1573732800,1220.0
1573733700,1220.0
1573734600,1220.0
1573735500,1220.0
1573736400,480.0
1573737300,480.0
1573738200,480.0
1573739100,480.0
1573740000,200.0
1573740900,200.0
1573741800,200.0
1573742700,200.0
1573743600,15980.0
1573744500,15980.0
1573745400,15980.0
1573746300,15980.0
1573747200,26980.0
1573748100,26980.0
1573749000,26980.0
1573749900,26980.0
1573750800,27620.0
1573751700,27620.0
1573752600,27620.0
1573753500,27620.0
1573754400,18300.0
1573755300,18300.0
1573756200,18300.0
1573757100,18300.0
1573758000,7320.0
1573758900,7320.0
1573759800,7320.0
1573760700,7320.0
1573761600,2920.0
1573762500,2920.0
1573763400,2920.0
1573764300,2920.0
1573765200,1180.0
1573766100,1180.0
1573767000,1180.0
1573767900,1180.0
1573768800,460.0
1573769700,460.0
1573770600,460.0
1573771500,460.0
1573772400,14440.0
1573773300,14440.0
1573774200,14440.0
1573775100,14440.0
1573776000,26880.0
1573776900,26880.0
1573777800,26880.0
1573778700,26880.0
1573779600,30660.0
1573780500,30660.0
1573781400,30660.0
1573782300,30660.0
1573783200,23820.0
1573784100,23820.0
1573785000,23820.0
1573785900,23820.0
1573786800,9520.0
1573787700,9520.0
1573788600,9520.0
1573789500,9520.0
1573790400,3800.0
1573791300,3800.0
1573792200,3800.0
1573793100,3800.0
1573794000,1520.0
1573794900,1520.0
1573795800,1520.0
1573796700,1520.0
1573797600,620.0
1573798500,620.0
1573799400,620.0
1573800300,620.0
1573801200,14660.0
1573802100,14660.0
1573803000,14660.0
1573803900,14660.0
1573804800,27560.0
1573805700,27560.0
1573806600,27560.0
1573807500,27560.0
1573808400,29680.0
1573809300,29680.0
1573810200,29680.0
1573811100,29680.0
1573812000,18200.0
1573812900,18200.0
1573813800,18200.0
1573814700,18200.0
1573815600,7280.0
1573816500,7280.0
1573817400,7280.0
1573818300,7280.0
1573819200,2920.0
1573820100,2920.0
1573821000,2920.0
1573821900,2920.0
1573822800,1160.0
1573823700,1160.0
1573824600,1160.0
1573825500,1160.0
1573826400,460.0
1573827300,460.0
1573828200,460.0
1573829100,460.0
1573830000,11100.0
1573830900,11100.0
1573831800,11100.0
1573832700,11100.0
1573833600,20380.0
1573834500,20380.0
1573835400,20380.0
1573836300,20380.0
1573837200,24460.0
1573838100,24460.0
1573839000,24460.0
1573839900,24460.0
1573840800,21080.0
1573841700,21080.0
1573842600,21080.0
1573843500,21080.0
1573844400,8440.0
1573845300,8440.0
1573846200,8440.0
1573847100,8440.0
1573848000,3380.0
1573848900,3380.0
1573849800,3380.0
1573850700,3380.0
1573851600,1340.0
1573852500,1340.0
1573853400,1340.0
1573854300,1340.0
1573855200,15760.0
1573856100,15760.0
1573857000,15760.0
1573857900,15760.0
1573858800,29880.0
1573859700,29880.0
1573860600,29880.0
1573861500,29880.0
1573862400,35120.0
1573863300,35120.0
1573864200,35120.0
1573865100,35120.0
1573866000,29340.0
1573866900,29340.0
1573867800,29340.0
1573868700,29340.0
1573869600,11740.0
1573870500,11740.0
1573871400,11740.0
1573872300,11740.0
1573873200,4700.0
1573874100,4700.0
1573875000,4700.0
1573875900,4700.0
1573876800,1880.0
1573877700,1880.0
1573878600,1880.0
1573879500,1880.0
1573880400,11620.0
1573881300,11620.0
1573882200,11620.0
1573883100,11620.0
1573884000,23900.0
1573884900,23900.0
1573885800,23900.0
1573886700,23900.0
1573887600,31460.0
1573888500,31460.0
1573889400,31460.0
1573890300,31460.0
1573891200,29700.0
1573892100,29700.0
1573893000,29700.0
1573893900,29700.0
1573894800,11880.0
1573895700,11880.0
1573896600,11880.0
1573897500,11880.0
1573898400,4760.0
1573899300,4760.0
1573900200,4760.0
1573901100,4760.0
1573902000,1900.0
1573902900,1900.0
1573903800,1900.0
1573904700,1900.0
1573905600,760.0
1573906500,760.0
1573907400,760.0
1573908300,760.0
1573909200,300.0
1573910100,300.0
1573911000,300.0
1573911900,300.0
1573912800,25260.0
1573913700,25260.0
1573914600,25260.0
1573915500,25260.0
1573916400,41860.0
1573917300,41860.0
1573918200,41860.0
1573919100,41860.0
1573920000,40560.0
1573920900,40560.0
1573921800,40560.0
1573922700,40560.0
1573923600,16220.0
1573924500,16220.0
1573925400,16220.0
1573926300,16220.0
1573927200,6480.0
1573928100,6480.0
1573929000,6480.0
1573929900,6480.0
1573930800,2600.0
1573931700,2600.0
1573932600,2600.0
1573933500,2600.0
1573934400,1040.0
1573935300,1040.0
1573936200,1040.0
1573937100,1040.0
1573938000,420.0
1573938900,420.0
1573939800,420.0
1573940700,420.0
1573941600,16420.0
1573942500,16420.0
1573943400,16420.0
1573944300,16420.0
1573945200,30220.0
1573946100,30220.0
1573947000,30220.0
1573947900,30220.0
1573948800,12100.0
1573949700,12100.0
1573950600,12100.0
1573951500,12100.0
1573952400,4840.0
1573953300,4840.0
1573954200,4840.0
1573955100,4840.0
1573956000,15860.0
1573956900,15860.0
1573957800,15860.0
1573958700,15860.0
1573959600,24900.0
