,heat
1573516800,4042
1573517700,4042
1573518600,4042
1573519500,4042
1573520400,1621
1573521300,1621
1573522200,1621
1573523100,1621
1573524000,642
1573524900,642
1573525800,642
1573526700,642
1573527600,263
1573528500,263
1573529400,263
1573530300,263
1573531200,105
1573532100,105
1573533000,105
1573533900,105
1573534800,22442
1573535700,22442
1573536600,22442
1573537500,22442
1573538400,26800
1573539300,26800
1573540200,26800
1573541100,26800
1573542000,26800
1573542900,26800
1573543800,26800
1573544700,26800
1573545600,26768
1573546500,26768
1573547400,26768
1573548300,26768
1573549200,10705
1573550100,10705
1573551000,10705
1573551900,10705
1573552800,4284
1573553700,4284
1573554600,4284
1573555500,4284
1573556400,1716
1573557300,1716
1573558200,1716
1573559100,1716
1573560000,684
1573560900,684
1573561800,684
1573562700,684
1573563600,274
1573564500,274
1573565400,274
1573566300,274
1573567200,8358
1573568100,8358
1573569000,8358
1573569900,8358
1573570800,17147
1573571700,17147
1573572600,17147
1573573500,17147
1573574400,22600
1573575300,22600
1573576200,22600
1573577100,22600
1573578000,26800
1573578900,26800
1573579800,26800
1573580700,26800
1573581600,23926
1573582500,23926
1573583400,23926
1573584300,23926
1573585200,9568
1573586100,9568
1573587000,9568
1573587900,9568
1573588800,3832
1573589700,3832
1573590600,3832
1573591500,3832
1573592400,1526
1573593300,1526
1573594200,1526
1573595100,1526
1573596000,9558
1573596900,9558
1573597800,9558
1573598700,9558
1573599600,3821
1573600500,3821
1573601400,3821
1573602300,3821
1573603200,1526
1573604100,1526
1573605000,1526
1573605900,1526
1573606800,611
1573607700,611
1573608600,611
1573609500,611
1573610400,242
1573611300,242
1573612200,242
1573613100,242
1573614000,9768
1573614900,9768
1573615800,9768
1573616700,9768
1573617600,20389
1573618500,20389
1573619400,20389
1573620300,20389
1573621200,25747
1573622100,25747
1573623000,25747
1573623900,25747
1573624800,26800
1573625700,26800
1573626600,26800
1573627500,26800
1573628400,26800
1573629300,26800
1573630200,26800
1573631100,26800
1573632000,26705
1573632900,26705
1573633800,26705
1573634700,26705
1573635600,10684
1573636500,10684
1573637400,10684
1573638300,10684
1573639200,4274
1573640100,4274
1573641000,4274
1573641900,4274
1573642800,1705
1573643700,1705
1573644600,1705
1573645500,1705
1573646400,684
1573647300,684
1573648200,684
1573649100,684
1573650000,274
1573650900,274
1573651800,274
1573652700,274
1573653600,8537
1573654500,8537
1573655400,8537
1573656300,8537
1573657200,17705
1573658100,17705
1573659000,17705
1573659900,17705
1573660800,23389
1573661700,23389
1573662600,23389
1573663500,23389
1573664400,26800
1573665300,26800
1573666200,26800
1573667100,26800
1573668000,24621
1573668900,24621
1573669800,24621
1573670700,24621
1573671600,9853
1573672500,9853
1573673400,9853
1573674300,9853
