,heat
1573516800,23832
1573517700,23832
1573518600,23832
1573519500,23832
1573520400,30800
1573521300,30800
1573522200,30800
1573523100,30800
1573524000,28589
1573524900,28589
1573525800,28589
1573526700,28589
1573527600,11442
1573528500,11442
1573529400,11442
1573530300,11442
1573531200,4579
1573532100,4579
1573533000,4579
1573533900,4579
1573534800,1832
1573535700,1832
1573536600,1832
1573537500,1832
1573538400,10558
1573539300,10558
1573540200,10558
1573541100,10558
1573542000,21779
1573542900,21779
1573543800,21779
1573544700,21779
1573545600,23495
1573546500,23495
1573547400,23495
1573548300,23495
1573549200,20811
1573550100,20811
1573551000,20811
1573551900,20811
1573552800,8326
1573553700,8326
1573554600,8326
1573555500,8326
1573556400,3326
1573557300,3326
1573558200,3326
1573559100,3326
1573560000,8832
1573560900,8832
1573561800,8832
1573562700,8832
1573563600,15305
1573564500,15305
1573565400,15305
1573566300,15305
1573567200,23979
1573568100,23979
1573569000,23979
1573569900,23979
1573570800,9589
1573571700,9589
1573572600,9589
1573573500,9589
1573574400,13737
1573575300,13737
1573576200,13737
1573577100,13737
1573578000,17568
1573578900,17568
1573579800,17568
1573580700,17568
1573581600,18547
1573582500,18547
1573583400,18547
1573584300,18547
1573585200,16516
1573586100,16516
1573587000,16516
1573587900,16516
1573588800,6611
1573589700,6611
1573590600,6611
1573591500,6611
1573592400,2642
1573593300,2642
1573594200,2642
1573595100,2642
1573596000,10516
1573596900,10516
1573597800,10516
1573598700,10516
1573599600,19989
1573600500,19989
1573601400,19989
1573602300,19989
1573603200,25305
1573604100,25305
1573605000,25305
1573605900,25305
1573606800,23589
1573607700,23589
1573608600,23589
1573609500,23589
1573610400,9442
1573611300,9442
1573612200,9442
1573613100,9442
1573614000,3779
1573614900,3779
1573615800,3779
1573616700,3779
1573617600,1505
1573618500,1505
1573619400,1505
1573620300,1505
1573621200,11421
1573622100,11421
1573623000,11421
1573623900,11421
1573624800,22411
1573625700,22411
1573626600,22411
1573627500,22411
1573628400,27853
1573629300,27853
1573630200,27853
1573631100,27853
1573632000,21316
1573632900,21316
1573633800,21316
1573634700,21316
1573635600,8526
1573636500,8526
1573637400,8526
1573638300,8526
1573639200,3411
1573640100,3411
1573641000,3411
1573641900,3411
1573642800,1368
1573643700,1368
1573644600,1368
1573645500,1368
1573646400,8747
1573647300,8747
1573648200,8747
1573649100,8747
1573650000,16895
1573650900,16895
1573651800,16895
1573652700,16895
1573653600,27053
1573654500,27053
1573655400,27053
1573656300,27053
1573657200,28653
1573658100,28653
1573659000,28653
1573659900,28653
1573660800,21042
1573661700,21042
1573662600,21042
1573663500,21042
1573664400,8421
1573665300,8421
1573666200,8421
1573667100,8421
1573668000,3368
1573668900,3368
1573669800,3368
1573670700,3368
1573671600,1347
1573672500,1347
1573673400,1347
1573674300,1347
1573675200,537
1573676100,537
1573677000,537
1573677900,537
1573678800,16684
1573679700,16684
1573680600,16684
1573681500,16684
1573682400,30905
1573683300,30905
1573684200,30905
1573685100,30905
1573686000,34916
1573686900,34916
1573687800,34916
1573688700,34916
1573689600,26653
1573690500,26653
1573691400,26653
1573692300,26653
1573693200,10663
1573694100,10663
1573695000,10663
1573695900,10663
1573696800,4263
1573697700,4263
1573698600,4263
1573699500,4263
1573700400,1705
1573701300,1705
1573702200,1705
1573703100,1705
1573704000,684
1573704900,684
1573705800,684
1573706700,684
1573707600,274
1573708500,274
1573709400,274
1573710300,274
1573711200,22832
1573712100,22832
1573713000,22832
1573713900,22832
1573714800,40116
1573715700,40116
1573716600,40116
1573717500,40116
1573718400,35274
1573719300,35274
1573720200,35274
1573721100,35274
1573722000,20474
1573722900,20474
1573723800,20474
1573724700,20474
1573725600,8189
1573726500,8189
1573727400,8189
1573728300,8189
1573729200,3274
1573730100,3274
1573731000,3274
1573731900,3274
1573732800,1316
1573733700,1316
1573734600,1316
1573735500,1316
1573736400,526
1573737300,526
1573738200,526
1573739100,526
1573740000,8368
1573740900,8368
1573741800,8368
1573742700,8368
1573743600,17537
1573744500,17537
1573745400,17537
1573746300,17537
1573747200,22684
1573748100,22684
1573749000,22684
1573749900,22684
1573750800,21821
1573751700,21821
1573752600,21821
1573753500,21821
1573754400,8726
1573755300,8726
1573756200,8726
1573757100,8726
1573758000,3495
1573758900,3495
1573759800,3495
1573760700,3495
1573761600,1400
1573762500,1400
1573763400,1400
1573764300,1400
1573765200,15600
1573766100,15600
1573767000,15600
1573767900,15600
1573768800,6242
1573769700,6242
1573770600,6242
1573771500,6242
1573772400,25432
1573773300,25432
1573774200,25432
1573775100,25432
1573776000,38126
1573776900,38126
1573777800,38126
1573778700,38126
1573779600,37042
1573780500,37042
1573781400,37042
1573782300,37042
1573783200,14821
1573784100,14821
1573785000,14821
1573785900,14821
1573786800,5926
1573787700,5926
1573788600,5926
1573789500,5926
1573790400,2368
1573791300,2368
1573792200,2368
1573793100,2368
1573794000,947
1573794900,947
1573795800,947
1573796700,947
1573797600,14126
1573798500,14126
1573799400,14126
1573800300,14126
1573801200,28389
1573802100,28389
1573803000,28389
1573803900,28389
1573804800,29211
1573805700,29211
1573806600,29211
1573807500,29211
1573808400,22579
1573809300,22579
1573810200,22579
1573811100,22579
1573812000,9032
1573812900,9032
1573813800,9032
1573814700,9032
1573815600,3611
1573816500,3611
1573817400,3611
1573818300,3611
1573819200,1442
1573820100,1442
1573821000,1442
1573821900,1442
1573822800,9663
1573823700,9663
1573824600,9663
1573825500,9663
1573826400,21621
1573827300,21621
1573828200,21621
1573829100,21621
1573830000,26653
1573830900,26653
1573831800,26653
1573832700,26653
1573833600,22621
1573834500,22621
1573835400,22621
1573836300,22621
1573837200,9053
1573838100,9053
1573839000,9053
1573839900,9053
1573840800,3621
1573841700,3621
1573842600,3621
1573843500,3621
1573844400,1453
1573845300,1453
1573846200,1453
1573847100,1453
1573848000,15968
1573848900,15968
1573849800,15968
1573850700,15968
1573851600,31295
1573852500,31295
1573853400,31295
1573854300,31295
1573855200,12516
1573856100,12516
1573857000,12516
1573857900,12516
1573858800,5011
1573859700,5011
1573860600,5011
1573861500,5011
1573862400,25347
1573863300,25347
1573864200,25347
1573865100,25347
1573866000,41947
1573866900,41947
1573867800,41947
1573868700,41947
1573869600,45095
1573870500,45095
1573871400,45095
1573872300,45095
1573873200,33600
1573874100,33600
1573875000,33600
1573875900,33600
1573876800,13442
1573877700,13442
1573878600,13442
1573879500,13442
1573880400,5379
1573881300,5379
