,heat
1573516800,526
1573517700,526
1573518600,526
1573519500,526
1573520400,211
1573521300,211
1573522200,211
1573523100,211
1573524000,84
1573524900,84
1573525800,84
1573526700,84
1573527600,32
1573528500,32
1573529400,32
1573530300,32
1573531200,11
1573532100,11
1573533000,11
1573533900,11
1573534800,0
1573535700,0
1573536600,0
1573537500,0
1573538400,26200
1573539300,26200
1573540200,26200
1573541100,26200
1573542000,26200
1573542900,26200
1573543800,26200
1573544700,26200
1573545600,25147
1573546500,25147
1573547400,25147
1573548300,25147
1573549200,10063
1573550100,10063
1573551000,10063
1573551900,10063
1573552800,4021
1573553700,4021
1573554600,4021
1573555500,4021
1573556400,1611
1573557300,1611
1573558200,1611
1573559100,1611
1573560000,642
1573560900,642
1573561800,642
1573562700,642
1573563600,263
1573564500,263
1573565400,263
1573566300,263
1573567200,105
1573568100,105
1573569000,105
1573569900,105
1573570800,6232
1573571700,6232
1573572600,6232
1573573500,6232
1573574400,13726
1573575300,13726
1573576200,13726
1573577100,13726
1573578000,18179
1573578900,18179
1573579800,18179
1573580700,18179
1573581600,16926
1573582500,16926
1573583400,16926
1573584300,16926
1573585200,6768
1573586100,6768
1573587000,6768
1573587900,6768
1573588800,2705
1573589700,2705
1573590600,2705
1573591500,2705
1573592400,1084
1573593300,1084
1573594200,1084
1573595100,1084
1573596000,432
1573596900,432
1573597800,432
1573598700,432
1573599600,168
1573600500,168
1573601400,168
1573602300,168
1573603200,74
1573604100,74
1573605000,74
1573605900,74
1573606800,32
1573607700,32
1573608600,32
1573609500,32
1573610400,11
1573611300,11
1573612200,11
1573613100,11
1573614000,0
1573614900,0
1573615800,0
1573616700,0
1573617600,0
1573618500,0
1573619400,0
1573620300,0
1573621200,7032
1573622100,7032
1573623000,7032
1573623900,7032
1573624800,2811
1573625700,2811
1573626600,2811
1573627500,2811
1573628400,26200
1573629300,26200
1573630200,26200
1573631100,26200
1573632000,26200
1573632900,26200
1573633800,26200
1573634700,26200
1573635600,26200
1573636500,26200
1573637400,26200
1573638300,26200
1573639200,21189
1573640100,21189
1573641000,21189
1573641900,21189
1573642800,8474
1573643700,8474
1573644600,8474
1573645500,8474
1573646400,3389
1573647300,3389
1573648200,3389
1573649100,3389
1573650000,1358
1573650900,1358
1573651800,1358
1573652700,1358
1573653600,547
1573654500,547
1573655400,547
1573656300,547
1573657200,221
1573658100,221
1573659000,221
1573659900,221
1573660800,84
1573661700,84
1573662600,84
1573663500,84
1573664400,32
1573665300,32
1573666200,32
1573667100,32
1573668000,11
1573668900,11
1573669800,11
1573670700,11
1573671600,11
1573672500,11
1573673400,11
1573674300,11
1573675200,0
1573676100,0
1573677000,0
1573677900,0
1573678800,6105
1573679700,6105
1573680600,6105
1573681500,6105
1573682400,14284
1573683300,14284
1573684200,14284
1573685100,14284
1573686000,5716
1573686900,5716
1573687800,5716
1573688700,5716
1573689600,2284
1573690500,2284
1573691400,2284
1573692300,2284
1573693200,916
1573694100,916
1573695000,916
1573695900,916
1573696800,368
1573697700,368
1573698600,368
1573699500,368
1573700400,147
1573701300,147
1573702200,147
1573703100,147
1573704000,63
1573704900,63
1573705800,63
1573706700,63
1573707600,21
1573708500,21
1573709400,21
1573710300,21
1573711200,26200
1573712100,26200
1573713000,26200
1573713900,26200
1573714800,26200
1573715700,26200
1573716600,26200
1573717500,26200
1573718400,26200
1573719300,26200
1573720200,26200
1573721100,26200
1573722000,20821
1573722900,20821
1573723800,20821
1573724700,20821
1573725600,8326
1573726500,8326
1573727400,8326
1573728300,8326
1573729200,3337
1573730100,3337
1573731000,3337
1573731900,3337
1573732800,1337
1573733700,1337
1573734600,1337
1573735500,1337
1573736400,537
1573737300,537
1573738200,537
1573739100,537
1573740000,211
1573740900,211
1573741800,211
1573742700,211
1573743600,84
1573744500,84
1573745400,84
1573746300,84
1573747200,32
1573748100,32
1573749000,32
1573749900,32
1573750800,11
1573751700,11
1573752600,11
1573753500,11
1573754400,0
1573755300,0
1573756200,0
1573757100,0
1573758000,0
1573758900,0
1573759800,0
1573760700,0
1573761600,6947
1573762500,6947
1573763400,6947
1573764300,6947
1573765200,15663
1573766100,15663
1573767000,15663
1573767900,15663
1573768800,20947
1573769700,20947
1573770600,20947
1573771500,20947
1573772400,8379
1573773300,8379
1573774200,8379
1573775100,8379
1573776000,3347
1573776900,3347
1573777800,3347
1573778700,3347
1573779600,1337
1573780500,1337
1573781400,1337
1573782300,1337
1573783200,537
1573784100,537
1573785000,537
1573785900,537
1573786800,211
1573787700,211
1573788600,211
1573789500,211
1573790400,84
1573791300,84
1573792200,84
1573793100,84
1573794000,32
1573794900,32
1573795800,32
1573796700,32
1573797600,26200
1573798500,26200
1573799400,26200
1573800300,26200
1573801200,26200
1573802100,26200
1573803000,26200
1573803900,26200
1573804800,26200
1573805700,26200
1573806600,26200
1573807500,26200
1573808400,19316
1573809300,19316
1573810200,19316
1573811100,19316
1573812000,7726
1573812900,7726
1573813800,7726
1573814700,7726
1573815600,3095
1573816500,3095
1573817400,3095
1573818300,3095
1573819200,1232
1573820100,1232
1573821000,1232
1573821900,1232
1573822800,495
1573823700,495
1573824600,495
1573825500,495
1573826400,200
1573827300,200
1573828200,200
1573829100,200
1573830000,74
1573830900,74
