,heat
1572912000,2000.0
1572912900,2000.0
1572913800,2000.0
1572914700,2000.0
1572915600,800.0
1572916500,800.0
1572917400,800.0
1572918300,800.0
1572919200,320.0
1572920100,320.0
1572921000,320.0
1572921900,320.0
1572922800,13140.0
1572923700,13140.0
1572924600,13140.0
1572925500,13140.0
1572926400,5260.0
1572927300,5260.0
1572928200,5260.0
1572929100,5260.0
1572930000,20940.0
1572930900,20940.0
1572931800,20940.0
1572932700,20940.0
1572933600,30720.0
1572934500,30720.0
1572935400,30720.0
1572936300,30720.0
1572937200,29080.0
1572938100,29080.0
1572939000,29080.0
1572939900,29080.0
1572940800,11640.0
1572941700,11640.0
1572942600,11640.0
1572943500,11640.0
1572944400,4660.0
1572945300,4660.0
1572946200,4660.0
1572947100,4660.0
1572948000,1860.0
1572948900,1860.0
1572949800,1860.0
1572950700,1860.0
1572951600,740.0
1572952500,740.0
1572953400,740.0
1572954300,740.0
1572955200,10080.0
1572956100,10080.0
1572957000,10080.0
1572957900,10080.0
1572958800,19920.0
1572959700,19920.0
1572960600,19920.0
1572961500,19920.0
1572962400,22660.0
1572963300,22660.0
1572964200,22660.0
1572965100,22660.0
1572966000,18240.0
1572966900,18240.0
1572967800,18240.0
1572968700,18240.0
1572969600,7300.0
1572970500,7300.0
1572971400,7300.0
1572972300,7300.0
1572973200,2920.0
1572974100,2920.0
1572975000,2920.0
1572975900,2920.0
1572976800,1160.0
1572977700,1160.0
1572978600,1160.0
1572979500,1160.0
1572980400,9120.0
1572981300,9120.0
1572982200,9120.0
1572983100,9120.0
1572984000,19020.0
1572984900,19020.0
1572985800,19020.0
1572986700,19020.0
1572987600,7620.0
1572988500,7620.0
1572989400,7620.0
1572990300,7620.0
1572991200,18180.0
1572992100,18180.0
1572993000,18180.0
1572993900,18180.0
1572994800,25660.0
1572995700,25660.0
1572996600,25660.0
1572997500,25660.0
1572998400,26120.0
1572999300,26120.0
1573000200,26120.0
1573001100,26120.0
1573002000,19560.0
1573002900,19560.0
1573003800,19560.0
1573004700,19560.0
1573005600,7820.0
1573006500,7820.0
1573007400,7820.0
1573008300,7820.0
1573009200,3120.0
1573010100,3120.0
1573011000,3120.0
1573011900,3120.0
1573012800,1260.0
1573013700,1260.0
1573014600,1260.0
1573015500,1260.0
1573016400,12000.0
1573017300,12000.0
1573018200,12000.0
1573019100,12000.0
1573020000,23540.0
1573020900,23540.0
1573021800,23540.0
1573022700,23540.0
1573023600,29080.0
1573024500,29080.0
1573025400,29080.0
1573026300,29080.0
1573027200,25260.0
1573028100,25260.0
1573029000,25260.0
1573029900,25260.0
1573030800,10100.0
1573031700,10100.0
1573032600,10100.0
1573033500,10100.0
1573034400,4040.0
1573035300,4040.0
1573036200,4040.0
1573037100,4040.0
1573038000,1620.0
1573038900,1620.0
1573039800,1620.0
1573040700,1620.0
1573041600,640.0
1573042500,640.0
1573043400,640.0
1573044300,640.0
1573045200,260.0
1573046100,260.0
1573047000,260.0
1573047900,260.0
1573048800,21040.0
1573049700,21040.0
1573050600,21040.0
1573051500,21040.0
1573052400,33960.0
1573053300,33960.0
1573054200,33960.0
1573055100,33960.0
1573056000,33180.0
1573056900,33180.0
1573057800,33180.0
1573058700,33180.0
1573059600,13260.0
1573060500,13260.0
1573061400,13260.0
1573062300,13260.0
1573063200,5300.0
1573064100,5300.0
1573065000,5300.0
1573065900,5300.0
1573066800,2120.0
1573067700,2120.0
1573068600,2120.0
1573069500,2120.0
1573070400,12380.0
1573071300,12380.0
1573072200,12380.0
1573073100,12380.0
1573074000,25900.0
1573074900,25900.0
1573075800,25900.0
1573076700,25900.0
1573077600,35320.0
1573078500,35320.0
1573079400,35320.0
1573080300,35320.0
1573081200,35060.0
1573082100,35060.0
1573083000,35060.0
1573083900,35060.0
1573084800,14020.0
1573085700,14020.0
1573086600,14020.0
1573087500,14020.0
1573088400,5600.0
1573089300,5600.0
1573090200,5600.0
1573091100,5600.0
1573092000,2240.0
1573092900,2240.0
1573093800,2240.0
1573094700,2240.0
1573095600,20820.0
1573096500,20820.0
1573097400,20820.0
1573098300,20820.0
1573099200,39260.0
1573100100,39260.0
1573101000,39260.0
1573101900,39260.0
1573102800,47280.0
1573103700,47280.0
1573104600,47280.0
1573105500,47280.0
1573106400,40660.0
1573107300,40660.0
1573108200,40660.0
1573109100,40660.0
1573110000,16260.0
1573110900,16260.0
1573111800,16260.0
1573112700,16260.0
1573113600,6500.0
1573114500,6500.0
1573115400,6500.0
1573116300,6500.0
1573117200,2600.0
1573118100,2600.0
1573119000,2600.0
1573119900,2600.0
1573120800,1040.0
1573121700,1040.0
1573122600,1040.0
1573123500,1040.0
1573124400,23500.0
1573125300,23500.0
1573126200,23500.0
1573127100,23500.0
1573128000,41840.0
1573128900,41840.0
1573129800,41840.0
1573130700,41840.0
1573131600,16740.0
1573132500,16740.0
1573133400,16740.0
1573134300,16740.0
1573135200,20980.0
1573136100,20980.0
1573137000,20980.0
1573137900,20980.0
1573138800,22900.0
1573139700,22900.0
1573140600,22900.0
1573141500,22900.0
1573142400,21920.0
1573143300,21920.0
1573144200,21920.0
1573145100,21920.0
1573146000,8780.0
1573146900,8780.0
1573147800,8780.0
1573148700,8780.0
1573149600,3500.0
1573150500,3500.0
1573151400,3500.0
1573152300,3500.0
1573153200,19440.0
1573154100,19440.0
1573155000,19440.0
1573155900,19440.0
1573156800,36760.0
1573157700,36760.0
1573158600,36760.0
1573159500,36760.0
1573160400,45000.0
1573161300,45000.0
1573162200,45000.0
1573163100,45000.0
1573164000,39840.0
1573164900,39840.0
1573165800,39840.0
1573166700,39840.0
1573167600,15940.0
1573168500,15940.0
1573169400,15940.0
1573170300,15940.0
1573171200,6380.0
1573172100,6380.0
1573173000,6380.0
1573173900,6380.0
1573174800,2560.0
1573175700,2560.0
1573176600,2560.0
1573177500,2560.0
1573178400,21960.0
1573179300,21960.0
1573180200,21960.0
1573181100,21960.0
1573182000,8780.0
1573182900,8780.0
1573183800,8780.0
1573184700,8780.0
1573185600,39160.0
1573186500,39160.0
1573187400,39160.0
1573188300,39160.0
1573189200,15660.0
1573190100,15660.0
1573191000,15660.0
1573191900,15660.0
1573192800,43120.0
1573193700,43120.0
1573194600,43120.0
1573195500,43120.0
1573196400,59580.0
1573197300,59580.0
1573198200,59580.0
1573199100,59580.0
1573200000,54840.0
1573200900,54840.0
1573201800,54840.0
1573202700,54840.0
1573203600,21940.0
1573204500,21940.0
1573205400,21940.0
1573206300,21940.0
1573207200,8780.0
1573208100,8780.0
1573209000,8780.0
1573209900,8780.0
1573210800,3500.0
1573211700,3500.0
1573212600,3500.0
1573213500,3500.0
1573214400,1400.0
1573215300,1400.0
1573216200,1400.0
1573217100,1400.0
1573218000,560.0
1573218900,560.0
1573219800,560.0
1573220700,560.0
1573221600,22120.0
1573222500,22120.0
1573223400,22120.0
1573224300,22120.0
1573225200,38440.0
1573226100,38440.0
1573227000,38440.0
1573227900,38440.0
1573228800,42300.0
1573229700,42300.0
1573230600,42300.0
1573231500,42300.0
1573232400,33620.0
1573233300,33620.0
1573234200,33620.0
1573235100,33620.0
1573236000,13440.0
1573236900,13440.0
1573237800,13440.0
1573238700,13440.0
1573239600,5380.0
1573240500,5380.0
1573241400,5380.0
1573242300,5380.0
1573243200,2160.0
1573244100,2160.0
1573245000,2160.0
1573245900,2160.0
1573246800,18100.0
1573247700,18100.0
1573248600,18100.0
1573249500,18100.0
1573250400,36200.0
1573251300,36200.0
1573252200,36200.0
1573253100,36200.0
1573254000,45520.0
1573254900,45520.0
1573255800,45520.0
1573256700,45520.0
1573257600,40740.0
1573258500,40740.0
1573259400,40740.0
1573260300,40740.0
1573261200,16300.0
1573262100,16300.0
1573263000,16300.0
1573263900,16300.0
1573264800,6520.0
1573265700,6520.0
1573266600,6520.0
1573267500,6520.0
1573268400,2600.0
1573269300,2600.0
1573270200,2600.0
1573271100,2600.0
1573272000,1040.0
1573272900,1040.0
1573273800,1040.0
1573274700,1040.0
1573275600,31500.0
1573276500,31500.0
1573277400,31500.0
1573278300,31500.0
1573279200,12600.0
1573280100,12600.0
1573281000,12600.0
1573281900,12600.0
1573282800,46400.0
1573283700,46400.0
1573284600,46400.0
1573285500,46400.0
1573286400,66580.0
1573287300,66580.0
1573288200,66580.0
1573289100,66580.0
1573290000,58100.0
1573290900,58100.0
1573291800,58100.0
1573292700,58100.0
1573293600,23240.0
1573294500,23240.0
1573295400,23240.0
1573296300,23240.0
1573297200,9300.0
1573298100,9300.0
1573299000,9300.0
1573299900,9300.0
1573300800,3720.0
1573301700,3720.0
1573302600,3720.0
1573303500,3720.0
1573304400,1480.0
1573305300,1480.0
1573306200,1480.0
1573307100,1480.0
1573308000,600.0
1573308900,600.0
1573309800,600.0
1573310700,600.0
1573311600,13760.0
1573312500,13760.0
1573313400,13760.0
1573314300,13760.0
1573315200,31380.0
1573316100,31380.0
1573317000,31380.0
1573317900,31380.0
1573318800,43760.0
1573319700,43760.0
1573320600,43760.0
1573321500,43760.0
1573322400,45040.0
1573323300,45040.0
1573324200,45040.0
1573325100,45040.0
1573326000,34400.0
1573326900,34400.0
1573327800,34400.0
1573328700,34400.0
1573329600,13760.0
1573330500,13760.0
1573331400,13760.0
1573332300,13760.0
1573333200,5500.0
1573334100,5500.0
1573335000,5500.0
1573335900,5500.0
1573336800,2200.0
1573337700,2200.0
1573338600,2200.0
1573339500,2200.0
1573340400,880.0
1573341300,880.0
1573342200,880.0
1573343100,880.0
1573344000,44720.0
1573344900,44720.0
1573345800,44720.0
1573346700,44720.0
1573347600,77980.0
1573348500,77980.0
1573349400,77980.0
1573350300,77980.0
1573351200,81320.0
1573352100,81320.0
1573353000,81320.0
1573353900,81320.0
1573354800,53080.0
1573355700,53080.0
1573356600,53080.0
1573357500,53080.0
1573358400,21240.0
1573359300,21240.0
1573360200,21240.0
1573361100,21240.0
1573362000,8500.0
1573362900,8500.0
1573363800,8500.0
1573364700,8500.0
1573365600,3400.0
1573366500,3400.0
1573367400,3400.0
1573368300,3400.0
1573369200,1360.0
1573370100,1360.0
1573371000,1360.0
1573371900,1360.0
1573372800,540.0
1573373700,540.0
1573374600,540.0
1573375500,540.0
1573376400,26780.0
1573377300,26780.0
1573378200,26780.0
1573379100,26780.0
1573380000,10700.0
1573380900,10700.0
1573381800,10700.0
1573382700,10700.0
1573383600,4280.0
1573384500,4280.0
1573385400,4280.0
1573386300,4280.0
1573387200,1720.0
1573388100,1720.0
1573389000,1720.0
1573389900,1720.0
1573390800,64420.0
1573391700,64420.0
1573392600,64420.0
1573393500,64420.0
1573394400,25760.0
1573395300,25760.0
1573396200,25760.0
1573397100,25760.0
1573398000,65100.0
1573398900,65100.0
1573399800,65100.0
1573400700,65100.0
1573401600,80960.0
1573402500,80960.0
1573403400,80960.0
1573404300,80960.0
1573405200,64640.0
1573406100,64640.0
1573407000,64640.0
1573407900,64640.0
1573408800,25860.0
1573409700,25860.0
1573410600,25860.0
1573411500,25860.0
1573412400,10340.0
1573413300,10340.0
1573414200,10340.0
1573415100,10340.0
1573416000,4140.0
1573416900,4140.0
1573417800,4140.0
1573418700,4140.0
1573419600,1660.0
1573420500,1660.0
1573421400,1660.0
1573422300,1660.0
1573423200,660.0
1573424100,660.0
1573425000,660.0
