,COP100_heat
1569283200,267.0
1569284100,267.0
1569285000,267.0
1569285900,267.0
1569286800,376.0
1569287700,376.0
1569288600,376.0
1569289500,376.0
1569290400,367.0
1569291300,367.0
1569292200,367.0
1569293100,367.0
1569294000,366.0
1569294900,366.0
1569295800,366.0
1569296700,366.0
1569297600,376.0
1569298500,376.0
1569299400,376.0
1569300300,376.0
1569301200,264.0
1569302100,264.0
1569303000,264.0
1569303900,264.0
1569304800,371.0
1569305700,371.0
1569306600,371.0
1569307500,371.0
1569308400,371.0
1569309300,371.0
1569310200,371.0
1569311100,371.0
1569312000,383.0
1569312900,383.0
1569313800,383.0
1569314700,383.0
1569315600,432.0
1569316500,432.0
1569317400,432.0
1569318300,432.0
1569319200,450.0
1569320100,450.0
1569321000,450.0
1569321900,450.0
1569322800,466.0
1569323700,466.0
1569324600,466.0
1569325500,466.0
1569326400,455.99999999999994
1569327300,455.99999999999994
1569328200,455.99999999999994
1569329100,455.99999999999994
1569330000,462.0
1569330900,462.0
1569331800,462.0
1569332700,462.0
1569333600,466.0
1569334500,466.0
1569335400,466.0
1569336300,466.0
1569337200,472.0
1569338100,472.0
1569339000,472.0
1569339900,472.0
1569340800,469.00000000000006
1569341700,469.00000000000006
1569342600,469.00000000000006
1569343500,469.00000000000006
1569344400,451.0
1569345300,451.0
1569346200,451.0
1569347100,451.0
1569348000,407.0
1569348900,407.0
1569349800,407.0
1569350700,407.0
1569351600,384.0
1569352500,384.0
1569353400,384.0
1569354300,384.0
1569355200,368.0
1569356100,368.0
1569357000,368.0
1569357900,368.0
1569358800,362.0
1569359700,362.0
1569360600,362.0
1569361500,362.0
1569362400,299.0
1569363300,299.0
1569364200,299.0
1569365100,299.0
1569366000,348.0
1569366900,348.0
1569367800,348.0
1569368700,348.0
1569369600,346.0
1569370500,346.0
1569371400,346.0
1569372300,346.0
1569373200,344.0
1569374100,344.0
1569375000,344.0
1569375900,344.0
1569376800,342.0
1569377700,342.0
1569378600,342.0
1569379500,342.0
1569380400,336.0
1569381300,336.0
1569382200,336.0
1569383100,336.0
1569384000,321.0
1569384900,321.0
1569385800,321.0
1569386700,321.0
1569387600,319.0
1569388500,319.0
1569389400,319.0
1569390300,319.0
1569391200,312.0
1569392100,312.0
1569393000,312.0
1569393900,312.0
1569394800,341.0
1569395700,341.0
1569396600,341.0
1569397500,341.0
1569398400,370.0
1569399300,370.0
1569400200,370.0
1569401100,370.0
1569402000,409.0
1569402900,409.0
1569403800,409.0
1569404700,409.0
1569405600,432.0
1569406500,432.0
1569407400,432.0
1569408300,432.0
1569409200,465.00000000000006
1569410100,465.00000000000006
1569411000,465.00000000000006
1569411900,465.00000000000006
1569412800,488.99999999999994
1569413700,488.99999999999994
1569414600,488.99999999999994
1569415500,488.99999999999994
1569416400,505.0
1569417300,505.0
1569418200,505.0
1569419100,505.0
1569420000,515.0
1569420900,515.0
1569421800,515.0
1569422700,515.0
1569423600,513.0
1569424500,513.0
1569425400,513.0
1569426300,513.0
1569427200,507.0
1569428100,507.0
1569429000,507.0
