,COP100_heat
1563840000,304.0
1563840900,304.0
1563841800,304.0
1563842700,304.0
1563843600,317.0
1563844500,317.0
1563845400,317.0
1563846300,317.0
1563847200,317.0
1563848100,317.0
1563849000,317.0
1563849900,317.0
1563850800,317.0
1563851700,317.0
1563852600,317.0
1563853500,317.0
1563854400,317.0
1563855300,317.0
1563856200,317.0
1563857100,317.0
1563858000,317.0
1563858900,317.0
1563859800,317.0
1563860700,317.0
1563861600,317.0
1563862500,317.0
1563863400,317.0
1563864300,317.0
1563865200,317.0
1563866100,317.0
1563867000,317.0
1563867900,317.0
1563868800,317.0
1563869700,317.0
1563870600,317.0
1563871500,317.0
1563872400,317.0
1563873300,317.0
1563874200,317.0
1563875100,317.0
1563876000,317.0
1563876900,317.0
1563877800,317.0
1563878700,317.0
1563879600,317.0
1563880500,317.0
1563881400,317.0
1563882300,317.0
1563883200,317.0
1563884100,317.0
1563885000,317.0
1563885900,317.0
1563886800,317.0
1563887700,317.0
1563888600,317.0
1563889500,317.0
1563890400,317.0
1563891300,317.0
1563892200,317.0
1563893100,317.0
1563894000,317.0
1563894900,317.0
1563895800,317.0
1563896700,317.0
1563897600,317.0
1563898500,317.0
1563899400,317.0
1563900300,317.0
1563901200,317.0
1563902100,317.0
1563903000,317.0
1563903900,317.0
1563904800,317.0
1563905700,317.0
1563906600,317.0
1563907500,317.0
1563908400,317.0
1563909300,317.0
1563910200,317.0
1563911100,317.0
1563912000,317.0
1563912900,317.0
1563913800,317.0
1563914700,317.0
1563915600,317.0
1563916500,317.0
1563917400,317.0
1563918300,317.0
1563919200,317.0
1563920100,317.0
1563921000,317.0
1563921900,317.0
1563922800,317.0
1563923700,317.0
1563924600,317.0
1563925500,317.0
1563926400,317.0
1563927300,317.0
1563928200,317.0
1563929100,317.0
1563930000,317.0
1563930900,317.0
1563931800,317.0
1563932700,317.0
1563933600,317.0
1563934500,317.0
1563935400,317.0
1563936300,317.0
1563937200,317.0
1563938100,317.0
1563939000,317.0
1563939900,317.0
1563940800,317.0
1563941700,317.0
1563942600,317.0
1563943500,317.0
1563944400,317.0
1563945300,317.0
1563946200,317.0
1563947100,317.0
1563948000,317.0
1563948900,317.0
1563949800,317.0
1563950700,317.0
1563951600,317.0
1563952500,317.0
1563953400,317.0
1563954300,317.0
1563955200,547.0
1563956100,547.0
1563957000,547.0
1563957900,547.0
1563958800,547.0
1563959700,547.0
1563960600,547.0
1563961500,547.0
1563962400,547.0
1563963300,547.0
1563964200,547.0
1563965100,547.0
1563966000,547.0
1563966900,547.0
1563967800,547.0
1563968700,547.0
1563969600,547.0
1563970500,547.0
1563971400,547.0
1563972300,547.0
1563973200,547.0
1563974100,547.0
1563975000,547.0
1563975900,547.0
1563976800,547.0
1563977700,547.0
1563978600,547.0
1563979500,547.0
1563980400,547.0
1563981300,547.0
1563982200,547.0
1563983100,547.0
1563984000,547.0
1563984900,547.0
1563985800,547.0
1563986700,547.0
1563987600,547.0
1563988500,547.0
1563989400,547.0
1563990300,547.0
1563991200,547.0
1563992100,547.0
1563993000,547.0
1563993900,547.0
1563994800,547.0
1563995700,547.0
1563996600,547.0
1563997500,547.0
1563998400,547.0
1563999300,547.0
1564000200,547.0
1564001100,547.0
1564002000,547.0
1564002900,547.0
1564003800,547.0
1564004700,547.0
1564005600,547.0
1564006500,547.0
1564007400,547.0
1564008300,547.0
1564009200,547.0
1564010100,547.0
1564011000,547.0
1564011900,547.0
1564012800,547.0
1564013700,547.0
1564014600,547.0
1564015500,547.0
1564016400,547.0
1564017300,547.0
1564018200,547.0
1564019100,547.0
1564020000,547.0
1564020900,547.0
1564021800,547.0
1564022700,547.0
1564023600,547.0
1564024500,547.0
1564025400,547.0
1564026300,547.0
1564027200,547.0
1564028100,547.0
1564029000,547.0
1564029900,547.0
1564030800,547.0
1564031700,547.0
1564032600,547.0
1564033500,547.0
1564034400,547.0
1564035300,547.0
1564036200,547.0
1564037100,547.0
1564038000,547.0
1564038900,547.0
1564039800,547.0
1564040700,547.0
1564041600,547.0
1564042500,547.0
1564043400,547.0
1564044300,547.0
1564045200,547.0
1564046100,547.0
1564047000,547.0
1564047900,547.0
1564048800,547.0
1564049700,547.0
1564050600,547.0
1564051500,547.0
1564052400,547.0
1564053300,547.0
1564054200,547.0
1564055100,547.0
1564056000,547.0
1564056900,547.0
1564057800,547.0
1564058700,547.0
1564059600,547.0
1564060500,547.0
1564061400,547.0
1564062300,547.0
1564063200,547.0
1564064100,547.0
1564065000,547.0
1564065900,547.0
1564066800,547.0
1564067700,547.0
1564068600,547.0
1564069500,547.0
1564070400,547.0
1564071300,547.0
1564072200,547.0
1564073100,547.0
1564074000,547.0
1564074900,547.0
1564075800,547.0
1564076700,547.0
1564077600,547.0
1564078500,547.0
1564079400,547.0
1564080300,547.0
1564081200,547.0
1564082100,547.0
1564083000,547.0
1564083900,547.0
1564084800,547.0
1564085700,547.0
1564086600,547.0
1564087500,547.0
1564088400,547.0
1564089300,547.0
1564090200,547.0
1564091100,547.0
1564092000,547.0
1564092900,547.0
1564093800,547.0
1564094700,547.0
1564095600,547.0
1564096500,547.0
1564097400,547.0
1564098300,547.0
1564099200,547.0
1564100100,547.0
1564101000,547.0
1564101900,547.0
1564102800,547.0
1564103700,547.0
1564104600,547.0
1564105500,547.0
1564106400,547.0
1564107300,547.0
1564108200,547.0
1564109100,547.0
1564110000,547.0
1564110900,547.0
1564111800,547.0
1564112700,547.0
1564113600,547.0
1564114500,547.0
1564115400,547.0
1564116300,547.0
1564117200,547.0
1564118100,547.0
1564119000,547.0
1564119900,547.0
1564120800,547.0
1564121700,547.0
1564122600,547.0
1564123500,547.0
1564124400,547.0
1564125300,547.0
1564126200,547.0
1564127100,547.0
1564128000,547.0
1564128900,547.0
1564129800,547.0
1564130700,547.0
1564131600,547.0
1564132500,547.0
1564133400,547.0
1564134300,547.0
1564135200,547.0
1564136100,547.0
1564137000,547.0
1564137900,547.0
1564138800,547.0
1564139700,547.0
1564140600,547.0
1564141500,547.0
1564142400,547.0
1564143300,547.0
1564144200,547.0
1564145100,547.0
1564146000,547.0
1564146900,547.0
1564147800,547.0
1564148700,547.0
1564149600,547.0
1564150500,547.0
1564151400,547.0
1564152300,547.0
1564153200,547.0
1564154100,547.0
1564155000,547.0
1564155900,547.0
1564156800,547.0
1564157700,547.0
1564158600,547.0
1564159500,547.0
1564160400,547.0
1564161300,547.0
1564162200,547.0
1564163100,547.0
1564164000,547.0
1564164900,547.0
1564165800,547.0
1564166700,547.0
1564167600,429.0
1564168500,429.0
1564169400,429.0
1564170300,429.0
1564171200,484.0
1564172100,484.0
1564173000,484.0
1564173900,484.0
1564174800,486.00000000000006
1564175700,486.00000000000006
1564176600,486.00000000000006
1564177500,486.00000000000006
1564178400,484.0
1564179300,484.0
1564180200,484.0
1564181100,484.0
1564182000,486.00000000000006
1564182900,486.00000000000006
1564183800,486.00000000000006
1564184700,486.00000000000006
1564185600,480.0
1564186500,480.0
1564187400,480.0
1564188300,480.0
1564189200,470.0
1564190100,470.0
1564191000,470.0
1564191900,470.0
1564192800,461.00000000000006
1564193700,461.00000000000006
1564194600,461.00000000000006
1564195500,461.00000000000006
1564196400,455.0
1564197300,455.0
1564198200,455.0
1564199100,455.0
1564200000,453.0
1564200900,453.0
1564201800,453.0
1564202700,453.0
1564203600,451.0
1564204500,451.0
1564205400,451.0
1564206300,451.0
1564207200,450.0
1564208100,450.0
1564209000,450.0
1564209900,450.0
1564210800,454.0
1564211700,454.0
1564212600,454.0
1564213500,454.0
1564214400,455.0
1564215300,455.0
1564216200,455.0
1564217100,455.0
1564218000,463.99999999999994
1564218900,463.99999999999994
1564219800,463.99999999999994
1564220700,463.99999999999994
1564221600,465.00000000000006
1564222500,465.00000000000006
1564223400,465.00000000000006
1564224300,465.00000000000006
1564225200,459.99999999999994
1564226100,459.99999999999994
1564227000,459.99999999999994
1564227900,459.99999999999994
1564228800,449.0
1564229700,449.0
1564230600,449.0
1564231500,449.0
1564232400,289.0
1564233300,289.0
1564234200,289.0
1564235100,289.0
1564236000,458.0
1564236900,458.0
1564237800,458.0
1564238700,458.0
1564239600,461.00000000000006
1564240500,461.00000000000006
1564241400,461.00000000000006
1564242300,461.00000000000006
1564243200,474.0
1564244100,474.0
1564245000,474.0
1564245900,474.0
1564246800,476.99999999999994
1564247700,476.99999999999994
1564248600,476.99999999999994
1564249500,476.99999999999994
1564250400,469.00000000000006
1564251300,469.00000000000006
1564252200,469.00000000000006
1564253100,469.00000000000006
1564254000,462.0
1564254900,462.0
1564255800,462.0
1564256700,462.0
1564257600,450.0
1564258500,450.0
1564259400,450.0
1564260300,450.0
1564261200,436.00000000000006
1564262100,436.00000000000006
1564263000,436.00000000000006
1564263900,436.00000000000006
1564264800,421.0
1564265700,421.0
1564266600,421.0
1564267500,421.0
1564268400,416.0
1564269300,416.0
1564270200,416.0
1564271100,416.0
1564272000,412.0
1564272900,412.0
1564273800,412.0
1564274700,412.0
1564275600,405.0
1564276500,405.0
1564277400,405.0
1564278300,405.0
1564279200,412.0
1564280100,412.0
1564281000,412.0
1564281900,412.0
1564282800,413.99999999999994
1564283700,413.99999999999994
1564284600,413.99999999999994
1564285500,413.99999999999994
1564286400,415.00000000000006
1564287300,415.00000000000006
1564288200,415.00000000000006
