,COP100_heat
1563840000,555.0
1563840900,555.0
1563841800,555.0
1563842700,555.0
1563843600,555.0
1563844500,555.0
1563845400,555.0
1563846300,555.0
1563847200,555.0
1563848100,555.0
1563849000,555.0
1563849900,555.0
1563850800,555.0
1563851700,555.0
1563852600,555.0
1563853500,555.0
1563854400,555.0
1563855300,555.0
1563856200,555.0
1563857100,555.0
1563858000,555.0
1563858900,555.0
1563859800,555.0
1563860700,555.0
1563861600,555.0
1563862500,555.0
1563863400,555.0
1563864300,555.0
1563865200,555.0
1563866100,555.0
1563867000,555.0
1563867900,555.0
1563868800,555.0
1563869700,555.0
1563870600,555.0
1563871500,555.0
1563872400,555.0
1563873300,555.0
1563874200,555.0
1563875100,555.0
1563876000,555.0
1563876900,555.0
1563877800,555.0
1563878700,555.0
1563879600,555.0
1563880500,555.0
1563881400,555.0
1563882300,555.0
1563883200,555.0
1563884100,555.0
1563885000,555.0
1563885900,555.0
1563886800,555.0
1563887700,555.0
1563888600,555.0
1563889500,555.0
1563890400,555.0
1563891300,555.0
1563892200,555.0
1563893100,555.0
1563894000,555.0
1563894900,555.0
1563895800,555.0
1563896700,555.0
1563897600,555.0
1563898500,555.0
1563899400,555.0
1563900300,555.0
1563901200,555.0
1563902100,555.0
1563903000,555.0
1563903900,555.0
1563904800,555.0
1563905700,555.0
1563906600,555.0
1563907500,555.0
1563908400,555.0
1563909300,555.0
1563910200,555.0
1563911100,555.0
1563912000,555.0
1563912900,555.0
1563913800,555.0
1563914700,555.0
1563915600,555.0
1563916500,555.0
1563917400,555.0
1563918300,555.0
1563919200,555.0
1563920100,555.0
1563921000,555.0
1563921900,555.0
1563922800,555.0
1563923700,555.0
1563924600,555.0
1563925500,555.0
1563926400,555.0
1563927300,555.0
1563928200,555.0
1563929100,555.0
1563930000,555.0
1563930900,555.0
1563931800,555.0
1563932700,555.0
1563933600,555.0
1563934500,555.0
1563935400,555.0
1563936300,555.0
1563937200,555.0
1563938100,555.0
1563939000,555.0
1563939900,555.0
1563940800,555.0
1563941700,555.0
1563942600,555.0
1563943500,555.0
1563944400,555.0
1563945300,555.0
1563946200,555.0
1563947100,555.0
1563948000,555.0
1563948900,555.0
1563949800,555.0
1563950700,555.0
1563951600,555.0
1563952500,555.0
1563953400,555.0
1563954300,555.0
1563955200,555.0
1563956100,555.0
1563957000,555.0
1563957900,555.0
1563958800,555.0
1563959700,555.0
1563960600,555.0
1563961500,555.0
1563962400,555.0
1563963300,555.0
1563964200,555.0
1563965100,555.0
1563966000,555.0
1563966900,555.0
1563967800,555.0
1563968700,555.0
1563969600,555.0
1563970500,555.0
1563971400,555.0
1563972300,555.0
1563973200,555.0
1563974100,555.0
1563975000,555.0
1563975900,555.0
1563976800,555.0
1563977700,555.0
1563978600,555.0
1563979500,555.0
1563980400,555.0
1563981300,555.0
1563982200,555.0
1563983100,555.0
1563984000,555.0
1563984900,555.0
1563985800,555.0
1563986700,555.0
1563987600,555.0
1563988500,555.0
1563989400,555.0
1563990300,555.0
1563991200,555.0
1563992100,555.0
1563993000,555.0
1563993900,555.0
1563994800,555.0
1563995700,555.0
1563996600,555.0
1563997500,555.0
1563998400,555.0
1563999300,555.0
1564000200,555.0
1564001100,555.0
1564002000,555.0
1564002900,555.0
1564003800,555.0
1564004700,555.0
1564005600,555.0
1564006500,555.0
1564007400,555.0
1564008300,555.0
1564009200,555.0
1564010100,555.0
1564011000,555.0
1564011900,555.0
1564012800,555.0
1564013700,555.0
1564014600,555.0
1564015500,555.0
1564016400,555.0
1564017300,555.0
1564018200,555.0
1564019100,555.0
1564020000,555.0
1564020900,555.0
1564021800,555.0
1564022700,555.0
1564023600,555.0
1564024500,555.0
1564025400,555.0
1564026300,555.0
1564027200,555.0
1564028100,555.0
1564029000,555.0
1564029900,555.0
1564030800,555.0
1564031700,555.0
1564032600,555.0
1564033500,555.0
1564034400,555.0
1564035300,555.0
1564036200,555.0
1564037100,555.0
1564038000,555.0
1564038900,555.0
1564039800,555.0
1564040700,555.0
1564041600,555.0
1564042500,555.0
1564043400,555.0
1564044300,555.0
1564045200,555.0
1564046100,555.0
1564047000,555.0
1564047900,555.0
1564048800,555.0
1564049700,555.0
1564050600,555.0
1564051500,555.0
1564052400,555.0
1564053300,555.0
1564054200,555.0
1564055100,555.0
1564056000,555.0
1564056900,555.0
1564057800,555.0
1564058700,555.0
1564059600,555.0
1564060500,555.0
1564061400,555.0
1564062300,555.0
1564063200,555.0
1564064100,555.0
1564065000,555.0
1564065900,555.0
1564066800,555.0
1564067700,555.0
1564068600,555.0
1564069500,555.0
1564070400,555.0
1564071300,555.0
1564072200,555.0
1564073100,555.0
1564074000,546.0
1564074900,546.0
1564075800,546.0
1564076700,546.0
1564077600,543.0
1564078500,543.0
1564079400,543.0
1564080300,543.0
1564081200,531.0
1564082100,531.0
1564083000,531.0
1564083900,531.0
1564084800,498.00000000000006
1564085700,498.00000000000006
1564086600,498.00000000000006
1564087500,498.00000000000006
1564088400,479.0
1564089300,479.0
1564090200,479.0
1564091100,479.0
1564092000,462.0
1564092900,462.0
1564093800,462.0
1564094700,462.0
1564095600,453.0
1564096500,453.0
1564097400,453.0
1564098300,453.0
1564099200,437.0
1564100100,437.0
1564101000,437.0
1564101900,437.0
1564102800,428.0
1564103700,428.0
1564104600,428.0
1564105500,428.0
1564106400,437.0
1564107300,437.0
1564108200,437.0
1564109100,437.0
1564110000,433.0
1564110900,433.0
1564111800,433.0
1564112700,433.0
1564113600,424.0
1564114500,424.0
1564115400,424.0
1564116300,424.0
1564117200,424.0
1564118100,424.0
1564119000,424.0
1564119900,424.0
1564120800,434.0
1564121700,434.0
1564122600,434.0
1564123500,434.0
1564124400,558.0
1564125300,558.0
1564126200,558.0
1564127100,558.0
1564128000,558.0
1564128900,558.0
1564129800,558.0
1564130700,558.0
1564131600,558.0
1564132500,558.0
1564133400,558.0
1564134300,558.0
1564135200,558.0
1564136100,558.0
1564137000,558.0
1564137900,558.0
1564138800,581.0
1564139700,581.0
1564140600,581.0
1564141500,581.0
1564142400,593.0
1564143300,593.0
1564144200,593.0
1564145100,593.0
1564146000,599.0
1564146900,599.0
1564147800,599.0
1564148700,599.0
1564149600,606.0
1564150500,606.0
1564151400,606.0
1564152300,606.0
1564153200,608.0
1564154100,608.0
1564155000,608.0
1564155900,608.0
1564156800,597.0
1564157700,597.0
1564158600,597.0
1564159500,597.0
1564160400,590.0
1564161300,590.0
1564162200,590.0
1564163100,590.0
1564164000,570.0
1564164900,570.0
1564165800,570.0
1564166700,570.0
1564167600,534.0
1564168500,534.0
1564169400,534.0
1564170300,534.0
1564171200,482.0
1564172100,482.0
1564173000,482.0
1564173900,482.0
1564174800,486.00000000000006
1564175700,486.00000000000006
1564176600,486.00000000000006
1564177500,486.00000000000006
1564178400,482.0
1564179300,482.0
1564180200,482.0
1564181100,482.0
1564182000,486.00000000000006
1564182900,486.00000000000006
1564183800,486.00000000000006
1564184700,486.00000000000006
1564185600,478.0
1564186500,478.0
1564187400,478.0
1564188300,478.0
1564189200,463.99999999999994
1564190100,463.99999999999994
1564191000,463.99999999999994
1564191900,463.99999999999994
1564192800,451.99999999999994
1564193700,451.99999999999994
1564194600,451.99999999999994
1564195500,451.99999999999994
1564196400,455.99999999999994
1564197300,455.99999999999994
1564198200,455.99999999999994
1564199100,455.99999999999994
1564200000,455.99999999999994
1564200900,455.99999999999994
1564201800,455.99999999999994
1564202700,455.99999999999994
1564203600,455.99999999999994
1564204500,455.99999999999994
1564205400,455.99999999999994
1564206300,455.99999999999994
1564207200,455.99999999999994
1564208100,455.99999999999994
1564209000,455.99999999999994
1564209900,455.99999999999994
1564210800,455.99999999999994
1564211700,455.99999999999994
1564212600,455.99999999999994
1564213500,455.99999999999994
1564214400,455.99999999999994
1564215300,455.99999999999994
1564216200,455.99999999999994
1564217100,455.99999999999994
1564218000,455.99999999999994
1564218900,455.99999999999994
1564219800,455.99999999999994
1564220700,455.99999999999994
1564221600,458.0
1564222500,458.0
1564223400,458.0
1564224300,458.0
1564225200,450.0
1564226100,450.0
1564227000,450.0
1564227900,450.0
1564228800,436.00000000000006
1564229700,436.00000000000006
1564230600,436.00000000000006
1564231500,436.00000000000006
1564232400,449.0
1564233300,449.0
1564234200,449.0
1564235100,449.0
1564236000,447.0
1564236900,447.0
1564237800,447.0
1564238700,447.0
1564239600,451.99999999999994
1564240500,451.99999999999994
1564241400,451.99999999999994
1564242300,451.99999999999994
1564243200,470.0
1564244100,470.0
1564245000,470.0
