,COP100_heat
1569283200,371.0
1569284100,371.0
1569285000,371.0
1569285900,371.0
1569286800,375.0
1569287700,375.0
1569288600,375.0
1569289500,375.0
1569290400,366.0
1569291300,366.0
1569292200,366.0
1569293100,366.0
1569294000,365.0
1569294900,365.0
1569295800,365.0
1569296700,365.0
1569297600,375.0
1569298500,375.0
1569299400,375.0
1569300300,375.0
1569301200,369.0
1569302100,369.0
1569303000,369.0
1569303900,369.0
1569304800,370.0
1569305700,370.0
1569306600,370.0
1569307500,370.0
1569308400,370.0
1569309300,370.0
1569310200,370.0
1569311100,370.0
1569312000,382.0
1569312900,382.0
1569313800,382.0
1569314700,382.0
1569315600,430.99999999999994
1569316500,430.99999999999994
1569317400,430.99999999999994
1569318300,430.99999999999994
1569319200,449.0
1569320100,449.0
1569321000,449.0
1569321900,449.0
1569322800,465.00000000000006
1569323700,465.00000000000006
1569324600,465.00000000000006
1569325500,465.00000000000006
1569326400,454.0
1569327300,454.0
1569328200,454.0
1569329100,454.0
1569330000,459.99999999999994
1569330900,459.99999999999994
1569331800,459.99999999999994
1569332700,459.99999999999994
1569333600,465.00000000000006
1569334500,465.00000000000006
1569335400,465.00000000000006
1569336300,465.00000000000006
1569337200,471.0
1569338100,471.0
1569339000,471.0
1569339900,471.0
1569340800,468.0
1569341700,468.0
1569342600,468.0
1569343500,468.0
1569344400,450.0
1569345300,450.0
1569346200,450.0
1569347100,450.0
1569348000,405.99999999999994
1569348900,405.99999999999994
1569349800,405.99999999999994
1569350700,405.99999999999994
1569351600,383.0
1569352500,383.0
1569353400,383.0
1569354300,383.0
1569355200,368.0
1569356100,368.0
1569357000,368.0
1569357900,368.0
1569358800,361.0
1569359700,361.0
1569360600,361.0
1569361500,361.0
1569362400,350.0
1569363300,350.0
1569364200,350.0
1569365100,350.0
1569366000,348.0
1569366900,348.0
1569367800,348.0
1569368700,348.0
1569369600,214.0
1569370500,214.0
1569371400,214.0
1569372300,214.0
1569373200,343.0
1569374100,343.0
1569375000,343.0
1569375900,343.0
1569376800,213.0
1569377700,213.0
1569378600,213.0
1569379500,213.0
1569380400,319.0
1569381300,319.0
1569382200,319.0
1569383100,319.0
1569384000,319.0
1569384900,319.0
1569385800,319.0
1569386700,319.0
1569387600,319.0
1569388500,319.0
1569389400,319.0
1569390300,319.0
1569391200,312.0
1569392100,312.0
1569393000,312.0
1569393900,312.0
1569394800,341.0
1569395700,341.0
1569396600,341.0
1569397500,341.0
1569398400,369.0
1569399300,369.0
1569400200,369.0
1569401100,369.0
1569402000,409.0
1569402900,409.0
1569403800,409.0
1569404700,409.0
1569405600,430.99999999999994
1569406500,430.99999999999994
1569407400,430.99999999999994
1569408300,430.99999999999994
1569409200,463.0
1569410100,463.0
1569411000,463.0
1569411900,463.0
1569412800,488.0
1569413700,488.0
1569414600,488.0
1569415500,488.0
1569416400,504.0
1569417300,504.0
1569418200,504.0
1569419100,504.0
1569420000,514.0
1569420900,514.0
1569421800,514.0
1569422700,514.0
1569423600,266.0
1569424500,266.0
1569425400,266.0
1569426300,266.0
1569427200,505.0
1569428100,505.0
1569429000,505.0
1569429900,505.0
1569430800,476.99999999999994
1569431700,476.99999999999994
1569432600,476.99999999999994
1569433500,476.99999999999994
1569434400,430.0
1569435300,430.0
1569436200,430.0
1569437100,430.0
1569438000,229.0
1569438900,229.0
1569439800,229.0
1569440700,229.0
1569441600,321.0
1569442500,321.0
1569443400,321.0
1569444300,321.0
1569445200,370.0
1569446100,370.0
1569447000,370.0
1569447900,370.0
1569448800,360.0
1569449700,360.0
1569450600,360.0
1569451500,360.0
1569452400,358.0
1569453300,358.0
1569454200,358.0
1569455100,358.0
1569456000,345.0
1569456900,345.0
1569457800,345.0
1569458700,345.0
1569459600,337.0
1569460500,337.0
1569461400,337.0
1569462300,337.0
1569463200,211.0
1569464100,211.0
1569465000,211.0
1569465900,211.0
1569466800,332.0
1569467700,332.0
1569468600,332.0
1569469500,332.0
1569470400,324.0
1569471300,324.0
1569472200,324.0
1569473100,324.0
1569474000,269.0
1569474900,269.0
1569475800,269.0
1569476700,269.0
1569477600,322.0
1569478500,322.0
1569479400,322.0
1569480300,322.0
1569481200,302.0
1569482100,302.0
1569483000,302.0
1569483900,302.0
1569484800,361.0
1569485700,361.0
1569486600,361.0
1569487500,361.0
1569488400,384.0
1569489300,384.0
1569490200,384.0
1569491100,384.0
1569492000,403.0
1569492900,403.0
1569493800,403.0
1569494700,403.0
1569495600,424.0
1569496500,424.0
1569497400,424.0
1569498300,424.0
1569499200,293.0
1569500100,293.0
1569501000,293.0
1569501900,293.0
1569502800,438.0
1569503700,438.0
1569504600,438.0
1569505500,438.0
1569506400,434.99999999999994
1569507300,434.99999999999994
1569508200,434.99999999999994
1569509100,434.99999999999994
1569510000,437.0
1569510900,437.0
1569511800,437.0
1569512700,437.0
1569513600,434.0
1569514500,434.0
1569515400,434.0
1569516300,434.0
1569517200,433.0
1569518100,433.0
1569519000,433.0
1569519900,433.0
1569520800,239.0
1569521700,239.0
1569522600,239.0
1569523500,239.0
1569524400,425.0
1569525300,425.0
1569526200,425.0
1569527100,425.0
1569528000,237.0
1569528900,237.0
1569529800,237.0
1569530700,237.0
1569531600,417.0
1569532500,417.0
1569533400,417.0
1569534300,417.0
1569535200,416.0
1569536100,416.0
1569537000,416.0
1569537900,416.0
1569538800,413.99999999999994
1569539700,413.99999999999994
1569540600,413.99999999999994
1569541500,413.99999999999994
1569542400,413.99999999999994
1569543300,413.99999999999994
1569544200,413.99999999999994
1569545100,413.99999999999994
1569546000,418.0
1569546900,418.0
1569547800,418.0
1569548700,418.0
1569549600,409.99999999999994
1569550500,409.99999999999994
1569551400,409.99999999999994
1569552300,409.99999999999994
1569553200,409.99999999999994
1569554100,409.99999999999994
1569555000,409.99999999999994
1569555900,409.99999999999994
1569556800,405.99999999999994
1569557700,405.99999999999994
1569558600,405.99999999999994
1569559500,405.99999999999994
1569560400,409.99999999999994
1569561300,409.99999999999994
1569562200,409.99999999999994
1569563100,409.99999999999994
1569564000,411.00000000000006
1569564900,411.00000000000006
1569565800,411.00000000000006
1569566700,411.00000000000006
1569567600,420.0
1569568500,420.0
1569569400,420.0
1569570300,420.0
1569571200,434.99999999999994
1569572100,434.99999999999994
1569573000,434.99999999999994
1569573900,434.99999999999994
1569574800,444.00000000000006
1569575700,444.00000000000006
1569576600,444.00000000000006
1569577500,444.00000000000006
1569578400,462.0
1569579300,462.0
1569580200,462.0
1569581100,462.0
1569582000,474.0
1569582900,474.0
1569583800,474.0
1569584700,474.0
1569585600,488.0
1569586500,488.0
1569587400,488.0
1569588300,488.0
1569589200,501.99999999999994
1569590100,501.99999999999994
1569591000,501.99999999999994
1569591900,501.99999999999994
1569592800,505.0
1569593700,505.0
1569594600,505.0
1569595500,505.0
1569596400,514.0
1569597300,514.0
1569598200,514.0
1569599100,514.0
1569600000,509.99999999999994
1569600900,509.99999999999994
1569601800,509.99999999999994
1569602700,509.99999999999994
1569603600,497.0
1569604500,497.0
1569605400,497.0
1569606300,497.0
1569607200,462.0
1569608100,462.0
1569609000,462.0
1569609900,462.0
1569610800,425.0
1569611700,425.0
1569612600,425.0
1569613500,425.0
1569614400,424.0
1569615300,424.0
1569616200,424.0
1569617100,424.0
1569618000,409.0
1569618900,409.0
1569619800,409.0
1569620700,409.0
1569621600,403.0
1569622500,403.0
1569623400,403.0
1569624300,403.0
1569625200,392.0
1569626100,392.0
1569627000,392.0
1569627900,392.0
1569628800,225.0
1569629700,225.0
1569630600,225.0
1569631500,225.0
1569632400,387.0
1569633300,387.0
1569634200,387.0
1569635100,387.0
1569636000,225.0
1569636900,225.0
1569637800,225.0
1569638700,225.0
1569639600,383.0
1569640500,383.0
1569641400,383.0
1569642300,383.0
1569643200,223.0
1569644100,223.0
1569645000,223.0
1569645900,223.0
1569646800,371.0
1569647700,371.0
1569648600,371.0
1569649500,371.0
1569650400,375.0
1569651300,375.0
1569652200,375.0
1569653100,375.0
1569654000,394.0
1569654900,394.0
1569655800,394.0
1569656700,394.0
1569657600,418.0
1569658500,418.0
1569659400,418.0
1569660300,418.0
1569661200,434.99999999999994
1569662100,434.99999999999994
1569663000,434.99999999999994
1569663900,434.99999999999994
1569664800,463.0
1569665700,463.0
1569666600,463.0
1569667500,463.0
1569668400,496.0
1569669300,496.0
1569670200,496.0
1569671100,496.0
1569672000,340.0
1569672900,340.0
1569673800,340.0
1569674700,340.0
1569675600,535.0
1569676500,535.0
1569677400,535.0
1569678300,535.0
1569679200,537.0
1569680100,537.0
1569681000,537.0
1569681900,537.0
1569682800,540.0
1569683700,540.0
1569684600,540.0
1569685500,540.0
1569686400,522.0
1569687300,522.0
1569688200,522.0
1569689100,522.0
1569690000,501.0
1569690900,501.0
1569691800,501.0
1569692700,501.0
1569693600,486.00000000000006
1569694500,486.00000000000006
1569695400,486.00000000000006
1569696300,486.00000000000006
1569697200,250.99999999999997
1569698100,250.99999999999997
1569699000,250.99999999999997
1569699900,250.99999999999997
1569700800,459.99999999999994
1569701700,459.99999999999994
1569702600,459.99999999999994
1569703500,459.99999999999994
1569704400,457.0
1569705300,457.0
1569706200,457.0
1569707100,457.0
1569708000,451.0
1569708900,451.0
1569709800,451.0
1569710700,451.0
1569711600,449.0
1569712500,449.0
1569713400,449.0
1569714300,449.0
1569715200,430.0
1569716100,430.0
1569717000,430.0
1569717900,430.0
1569718800,434.99999999999994
1569719700,434.99999999999994
1569720600,434.99999999999994
1569721500,434.99999999999994
1569722400,409.0
1569723300,409.0
1569724200,409.0
1569725100,409.0
1569726000,409.0
1569726900,409.0
1569727800,409.0
1569728700,409.0
1569729600,409.0
1569730500,409.0
1569731400,409.0
1569732300,409.0
1569733200,409.0
1569734100,409.0
1569735000,409.0
1569735900,409.0
1569736800,409.0
1569737700,409.0
1569738600,409.0
1569739500,409.0
1569740400,430.99999999999994
1569741300,430.99999999999994
1569742200,430.99999999999994
1569743100,430.99999999999994
1569744000,447.0
1569744900,447.0
1569745800,447.0
1569746700,447.0
1569747600,474.0
1569748500,474.0
1569749400,474.0
1569750300,474.0
1569751200,507.0
1569752100,507.0
1569753000,507.0
1569753900,507.0
1569754800,515.0
1569755700,515.0
1569756600,515.0
1569757500,515.0
1569758400,553.0
1569759300,553.0
1569760200,553.0
1569761100,553.0
1569762000,576.0
1569762900,576.0
1569763800,576.0
1569764700,576.0
1569765600,583.0
1569766500,583.0
1569767400,583.0
1569768300,583.0
1569769200,583.0
1569770100,583.0
1569771000,583.0
1569771900,583.0
1569772800,574.0
1569773700,574.0
1569774600,574.0
1569775500,574.0
1569776400,543.0
1569777300,543.0
1569778200,543.0
1569779100,543.0
1569780000,504.0
1569780900,504.0
1569781800,504.0
1569782700,504.0
1569783600,476.0
1569784500,476.0
1569785400,476.0
1569786300,476.0
1569787200,450.0
1569788100,450.0
1569789000,450.0
1569789900,450.0
1569790800,430.0
1569791700,430.0
1569792600,430.0
1569793500,430.0
1569794400,421.0
1569795300,421.0
1569796200,421.0
1569797100,421.0
1569798000,426.99999999999994
1569798900,426.99999999999994
1569799800,426.99999999999994
1569800700,426.99999999999994
1569801600,403.0
1569802500,403.0
1569803400,403.0
1569804300,403.0
1569805200,227.0
1569806100,227.0
1569807000,227.0
1569807900,227.0
1569808800,227.0
1569809700,227.0
1569810600,227.0
1569811500,227.0
1569812400,227.0
1569813300,227.0
1569814200,227.0
1569815100,227.0
1569816000,227.0
1569816900,227.0
1569817800,227.0
1569818700,227.0
1569819600,227.0
1569820500,227.0
1569821400,227.0
1569822300,227.0
1569823200,411.00000000000006
1569824100,411.00000000000006
1569825000,411.00000000000006
1569825900,411.00000000000006
1569826800,411.00000000000006
1569827700,411.00000000000006
1569828600,411.00000000000006
1569829500,411.00000000000006
1569830400,411.00000000000006
1569831300,411.00000000000006
1569832200,411.00000000000006
1569833100,411.00000000000006
1569834000,476.0
1569834900,476.0
1569835800,476.0
1569836700,476.0
1569837600,501.99999999999994
1569838500,501.99999999999994
1569839400,501.99999999999994
1569840300,501.99999999999994
1569841200,522.0
1569842100,522.0
1569843000,522.0
1569843900,522.0
1569844800,555.0
1569845700,555.0
1569846600,555.0
1569847500,555.0
1569848400,566.0
1569849300,566.0
1569850200,566.0
1569851100,566.0
1569852000,574.0
1569852900,574.0
1569853800,574.0
1569854700,574.0
1569855600,566.0
1569856500,566.0
1569857400,566.0
1569858300,566.0
1569859200,548.0
1569860100,548.0
1569861000,548.0
1569861900,548.0
1569862800,267.0
1569863700,267.0
1569864600,267.0
1569865500,267.0
1569866400,257.0
1569867300,257.0
1569868200,257.0
1569869100,257.0
1569870000,469.00000000000006
1569870900,469.00000000000006
1569871800,469.00000000000006
1569872700,469.00000000000006
1569873600,449.0
1569874500,449.0
1569875400,449.0
1569876300,449.0
1569877200,240.0
1569878100,240.0
1569879000,240.0
1569879900,240.0
1569880800,236.0
1569881700,236.0
1569882600,236.0
1569883500,236.0
1569884400,420.0
1569885300,420.0
1569886200,420.0
1569887100,420.0
