,COP100_heat
1563840000,307.0
1563840900,307.0
1563841800,307.0
1563842700,307.0
1563843600,307.0
1563844500,307.0
1563845400,307.0
1563846300,307.0
1563847200,307.0
1563848100,307.0
1563849000,307.0
1563849900,307.0
1563850800,307.0
1563851700,307.0
1563852600,307.0
1563853500,307.0
1563854400,307.0
1563855300,307.0
1563856200,307.0
1563857100,307.0
1563858000,307.0
1563858900,307.0
1563859800,307.0
1563860700,307.0
1563861600,501.0
1563862500,501.0
1563863400,501.0
1563864300,501.0
1563865200,501.0
1563866100,501.0
1563867000,501.0
1563867900,501.0
1563868800,501.0
1563869700,501.0
1563870600,501.0
1563871500,501.0
1563872400,501.0
1563873300,501.0
1563874200,501.0
1563875100,501.0
1563876000,501.0
1563876900,501.0
1563877800,501.0
1563878700,501.0
1563879600,501.0
1563880500,501.0
1563881400,501.0
1563882300,501.0
1563883200,501.0
1563884100,501.0
1563885000,501.0
1563885900,501.0
1563886800,501.0
1563887700,501.0
1563888600,501.0
1563889500,501.0
1563890400,501.0
1563891300,501.0
1563892200,501.0
1563893100,501.0
1563894000,501.0
1563894900,501.0
1563895800,501.0
1563896700,501.0
1563897600,501.0
1563898500,501.0
1563899400,501.0
1563900300,501.0
1563901200,501.0
1563902100,501.0
1563903000,501.0
1563903900,501.0
1563904800,501.0
1563905700,501.0
1563906600,501.0
1563907500,501.0
1563908400,501.0
1563909300,501.0
1563910200,501.0
1563911100,501.0
1563912000,501.0
1563912900,501.0
1563913800,501.0
1563914700,501.0
1563915600,501.0
1563916500,501.0
1563917400,501.0
1563918300,501.0
1563919200,501.0
1563920100,501.0
1563921000,501.0
1563921900,501.0
1563922800,501.0
1563923700,501.0
1563924600,501.0
1563925500,501.0
1563926400,501.0
1563927300,501.0
1563928200,501.0
1563929100,501.0
1563930000,501.0
1563930900,501.0
1563931800,501.0
1563932700,501.0
1563933600,501.0
1563934500,501.0
1563935400,501.0
1563936300,501.0
1563937200,501.0
1563938100,501.0
1563939000,501.0
1563939900,501.0
1563940800,501.0
1563941700,501.0
1563942600,501.0
1563943500,501.0
1563944400,501.0
1563945300,501.0
1563946200,501.0
1563947100,501.0
1563948000,501.0
1563948900,501.0
1563949800,501.0
1563950700,501.0
1563951600,501.0
1563952500,501.0
1563953400,501.0
1563954300,501.0
1563955200,501.0
1563956100,501.0
1563957000,501.0
1563957900,501.0
1563958800,501.0
1563959700,501.0
1563960600,501.0
