,COP100_heat
1573516800,331.0
1573517700,331.0
1573518600,331.0
1573519500,331.0
1573520400,333.0
1573521300,333.0
1573522200,333.0
1573523100,333.0
1573524000,338.0
1573524900,338.0
1573525800,338.0
1573526700,338.0
1573527600,336.0
1573528500,336.0
1573529400,336.0
1573530300,336.0
1573531200,341.0
1573532100,341.0
1573533000,341.0
1573533900,341.0
1573534800,341.0
1573535700,341.0
1573536600,341.0
1573537500,341.0
1573538400,341.0
1573539300,341.0
1573540200,341.0
1573541100,341.0
1573542000,341.0
1573542900,341.0
1573543800,341.0
1573544700,341.0
1573545600,345.0
1573546500,345.0
1573547400,345.0
1573548300,345.0
1573549200,346.0
1573550100,346.0
1573551000,346.0
1573551900,346.0
1573552800,351.0
1573553700,351.0
1573554600,351.0
1573555500,351.0
1573556400,356.0
1573557300,356.0
1573558200,356.0
1573559100,356.0
1573560000,360.0
1573560900,360.0
1573561800,360.0
1573562700,360.0
1573563600,364.0
1573564500,364.0
1573565400,364.0
1573566300,364.0
1573567200,363.0
1573568100,363.0
1573569000,363.0
1573569900,363.0
1573570800,362.0
1573571700,362.0
1573572600,362.0
1573573500,362.0
1573574400,357.0
1573575300,357.0
1573576200,357.0
1573577100,357.0
1573578000,360.0
1573578900,360.0
1573579800,360.0
1573580700,360.0
1573581600,356.0
1573582500,356.0
1573583400,356.0
1573584300,356.0
1573585200,359.0
1573586100,359.0
1573587000,359.0
1573587900,359.0
1573588800,358.0
1573589700,358.0
1573590600,358.0
1573591500,358.0
1573592400,354.0
1573593300,354.0
1573594200,354.0
1573595100,354.0
1573596000,355.0
1573596900,355.0
1573597800,355.0
1573598700,355.0
1573599600,355.0
1573600500,355.0
1573601400,355.0
1573602300,355.0
1573603200,354.0
1573604100,354.0
1573605000,354.0
1573605900,354.0
1573606800,355.0
1573607700,355.0
1573608600,355.0
1573609500,355.0
1573610400,357.0
1573611300,357.0
1573612200,357.0
1573613100,357.0
1573614000,356.0
1573614900,356.0
1573615800,356.0
1573616700,356.0
1573617600,355.0
1573618500,355.0
1573619400,355.0
1573620300,355.0
1573621200,355.0
1573622100,355.0
1573623000,355.0
1573623900,355.0
1573624800,246.0
1573625700,246.0
1573626600,246.0
1573627500,246.0
1573628400,353.0
1573629300,353.0
1573630200,353.0
1573631100,353.0
1573632000,356.0
1573632900,356.0
1573633800,356.0
1573634700,356.0
1573635600,356.0
1573636500,356.0
1573637400,356.0
1573638300,356.0
1573639200,358.0
1573640100,358.0
1573641000,358.0
1573641900,358.0
1573642800,358.0
1573643700,358.0
1573644600,358.0
1573645500,358.0
1573646400,358.0
1573647300,358.0
1573648200,358.0
1573649100,358.0
1573650000,358.0
1573650900,358.0
1573651800,358.0
1573652700,358.0
1573653600,356.0
1573654500,356.0
1573655400,356.0
1573656300,356.0
1573657200,356.0
1573658100,356.0
1573659000,356.0
1573659900,356.0
1573660800,356.0
1573661700,356.0
1573662600,356.0
1573663500,356.0
1573664400,353.0
1573665300,353.0
1573666200,353.0
1573667100,353.0
1573668000,353.0
1573668900,353.0
1573669800,353.0
1573670700,353.0
1573671600,351.0
1573672500,351.0
1573673400,351.0
1573674300,351.0
1573675200,348.0
1573676100,348.0
1573677000,348.0
1573677900,348.0
1573678800,345.0
1573679700,345.0
1573680600,345.0
1573681500,345.0
1573682400,343.0
1573683300,343.0
1573684200,343.0
1573685100,343.0
1573686000,343.0
1573686900,343.0
