,COP100_heat
1569283200,374.0
1569284100,374.0
1569285000,374.0
1569285900,374.0
1569286800,378.0
1569287700,378.0
1569288600,378.0
1569289500,378.0
1569290400,369.0
1569291300,369.0
1569292200,369.0
1569293100,369.0
1569294000,367.0
1569294900,367.0
1569295800,367.0
1569296700,367.0
1569297600,378.0
1569298500,378.0
1569299400,378.0
1569300300,378.0
1569301200,371.0
1569302100,371.0
1569303000,371.0
1569303900,371.0
1569304800,372.0
1569305700,372.0
1569306600,372.0
1569307500,372.0
1569308400,372.0
1569309300,372.0
1569310200,372.0
1569311100,372.0
1569312000,384.0
1569312900,384.0
1569313800,384.0
1569314700,384.0
1569315600,434.0
1569316500,434.0
1569317400,434.0
1569318300,434.0
1569319200,451.99999999999994
1569320100,451.99999999999994
1569321000,451.99999999999994
1569321900,451.99999999999994
1569322800,469.00000000000006
1569323700,469.00000000000006
1569324600,469.00000000000006
1569325500,469.00000000000006
1569326400,458.0
1569327300,458.0
1569328200,458.0
1569329100,458.0
1569330000,463.99999999999994
1569330900,463.99999999999994
1569331800,463.99999999999994
1569332700,463.99999999999994
1569333600,469.00000000000006
1569334500,469.00000000000006
1569335400,469.00000000000006
1569336300,469.00000000000006
1569337200,475.0
1569338100,475.0
1569339000,475.0
1569339900,475.0
1569340800,472.0
1569341700,472.0
1569342600,472.0
1569343500,472.0
1569344400,453.0
1569345300,453.0
1569346200,453.0
1569347100,453.0
1569348000,409.0
1569348900,409.0
1569349800,409.0
1569350700,409.0
1569351600,386.0
1569352500,386.0
1569353400,386.0
1569354300,386.0
1569355200,370.0
1569356100,370.0
1569357000,370.0
1569357900,370.0
1569358800,364.0
1569359700,364.0
1569360600,364.0
1569361500,364.0
1569362400,352.0
1569363300,352.0
1569364200,352.0
1569365100,352.0
1569366000,350.0
1569366900,350.0
1569367800,350.0
1569368700,350.0
1569369600,347.0
1569370500,347.0
1569371400,347.0
1569372300,347.0
1569373200,345.0
1569374100,345.0
1569375000,345.0
1569375900,345.0
1569376800,344.0
1569377700,344.0
1569378600,344.0
1569379500,344.0
1569380400,338.0
1569381300,338.0
1569382200,338.0
1569383100,338.0
1569384000,323.0
1569384900,323.0
1569385800,323.0
1569386700,323.0
1569387600,320.0
1569388500,320.0
1569389400,320.0
1569390300,320.0
1569391200,313.0
1569392100,313.0
1569393000,313.0
1569393900,313.0
1569394800,343.0
1569395700,343.0
1569396600,343.0
1569397500,343.0
1569398400,371.0
1569399300,371.0
1569400200,371.0
1569401100,371.0
1569402000,411.00000000000006
1569402900,411.00000000000006
1569403800,411.00000000000006
1569404700,411.00000000000006
1569405600,434.0
1569406500,434.0
1569407400,434.0
1569408300,434.0
1569409200,467.0
1569410100,467.0
1569411000,467.0
1569411900,467.0
1569412800,492.0
1569413700,492.0
1569414600,492.0
1569415500,492.0
1569416400,508.0
1569417300,508.0
1569418200,508.0
1569419100,508.0
1569420000,518.0
1569420900,518.0
1569421800,518.0
1569422700,518.0
1569423600,516.0
1569424500,516.0
1569425400,516.0
1569426300,516.0
1569427200,509.99999999999994
1569428100,509.99999999999994
1569429000,509.99999999999994
1569429900,509.99999999999994
1569430800,480.99999999999994
1569431700,480.99999999999994
1569432600,480.99999999999994
1569433500,480.99999999999994
1569434400,433.0
1569435300,433.0
1569436200,433.0
1569437100,433.0
1569438000,396.0
1569438900,396.0
1569439800,396.0
1569440700,396.0
1569441600,392.0
1569442500,392.0
1569443400,392.0
1569444300,392.0
1569445200,372.0
1569446100,372.0
1569447000,372.0
1569447900,372.0
1569448800,362.0
1569449700,362.0
1569450600,362.0
1569451500,362.0
1569452400,360.0
1569453300,360.0
1569454200,360.0
1569455100,360.0
1569456000,347.0
1569456900,347.0
1569457800,347.0
1569458700,347.0
1569459600,339.0
1569460500,339.0
1569461400,339.0
1569462300,339.0
1569463200,333.0
1569464100,333.0
1569465000,333.0
1569465900,333.0
1569466800,334.0
1569467700,334.0
1569468600,334.0
1569469500,334.0
1569470400,326.0
1569471300,326.0
1569472200,326.0
1569473100,326.0
1569474000,320.0
1569474900,320.0
1569475800,320.0
1569476700,320.0
1569477600,324.0
1569478500,324.0
1569479400,324.0
1569480300,324.0
1569481200,327.0
1569482100,327.0
1569483000,327.0
1569483900,327.0
1569484800,364.0
1569485700,364.0
1569486600,364.0
1569487500,364.0
1569488400,387.0
1569489300,387.0
1569490200,387.0
1569491100,387.0
1569492000,405.99999999999994
1569492900,405.99999999999994
1569493800,405.99999999999994
1569494700,405.99999999999994
1569495600,426.99999999999994
1569496500,426.99999999999994
1569497400,426.99999999999994
1569498300,426.99999999999994
1569499200,437.0
1569500100,437.0
1569501000,437.0
1569501900,437.0
1569502800,442.0
1569503700,442.0
1569504600,442.0
1569505500,442.0
1569506400,438.99999999999994
1569507300,438.99999999999994
1569508200,438.99999999999994
1569509100,438.99999999999994
1569510000,440.00000000000006
1569510900,440.00000000000006
1569511800,440.00000000000006
1569512700,440.00000000000006
1569513600,437.0
1569514500,437.0
1569515400,437.0
1569516300,437.0
1569517200,436.00000000000006
1569518100,436.00000000000006
1569519000,436.00000000000006
1569519900,436.00000000000006
1569520800,430.0
1569521700,430.0
1569522600,430.0
1569523500,430.0
1569524400,428.0
1569525300,428.0
1569526200,428.0
1569527100,428.0
1569528000,426.0
1569528900,426.0
1569529800,426.0
1569530700,426.0
1569531600,420.0
1569532500,420.0
1569533400,420.0
1569534300,420.0
1569535200,418.0
1569536100,418.0
1569537000,418.0
1569537900,418.0
1569538800,417.0
1569539700,417.0
1569540600,417.0
1569541500,417.0
1569542400,417.0
1569543300,417.0
1569544200,417.0
1569545100,417.0
1569546000,421.0
1569546900,421.0
1569547800,421.0
1569548700,421.0
1569549600,413.0
1569550500,413.0
1569551400,413.0
1569552300,413.0
1569553200,413.0
1569554100,413.0
1569555000,413.0
1569555900,413.0
1569556800,409.0
1569557700,409.0
1569558600,409.0
1569559500,409.0
1569560400,413.0
1569561300,413.0
1569562200,413.0
1569563100,413.0
1569564000,413.99999999999994
1569564900,413.99999999999994
1569565800,413.99999999999994
1569566700,413.99999999999994
1569567600,423.00000000000006
1569568500,423.00000000000006
1569569400,423.00000000000006
1569570300,423.00000000000006
1569571200,438.99999999999994
1569572100,438.99999999999994
1569573000,438.99999999999994
1569573900,438.99999999999994
1569574800,447.0
1569575700,447.0
1569576600,447.0
1569577500,447.0
1569578400,466.0
1569579300,466.0
1569580200,466.0
1569581100,466.0
1569582000,478.0
1569582900,478.0
1569583800,478.0
1569584700,478.0
1569585600,492.0
1569586500,492.0
1569587400,492.0
1569588300,492.0
1569589200,505.99999999999994
1569590100,505.99999999999994
1569591000,505.99999999999994
1569591900,505.99999999999994
1569592800,509.99999999999994
1569593700,509.99999999999994
1569594600,509.99999999999994
1569595500,509.99999999999994
1569596400,518.0
1569597300,518.0
1569598200,518.0
1569599100,518.0
1569600000,515.0
1569600900,515.0
1569601800,515.0
1569602700,515.0
1569603600,501.99999999999994
1569604500,501.99999999999994
1569605400,501.99999999999994
1569606300,501.99999999999994
1569607200,466.0
1569608100,466.0
1569609000,466.0
1569609900,466.0
1569610800,428.0
1569611700,428.0
1569612600,428.0
1569613500,428.0
1569614400,426.99999999999994
1569615300,426.99999999999994
1569616200,426.99999999999994
1569617100,426.99999999999994
1569618000,411.00000000000006
1569618900,411.00000000000006
1569619800,411.00000000000006
1569620700,411.00000000000006
1569621600,405.99999999999994
1569622500,405.99999999999994
1569623400,405.99999999999994
1569624300,405.99999999999994
1569625200,395.0
1569626100,395.0
1569627000,395.0
1569627900,395.0
1569628800,383.0
1569629700,383.0
1569630600,383.0
1569631500,383.0
1569632400,390.0
1569633300,390.0
1569634200,390.0
1569635100,390.0
1569636000,386.0
1569636900,386.0
1569637800,386.0
1569638700,386.0
1569639600,386.0
1569640500,386.0
1569641400,386.0
1569642300,386.0
1569643200,376.0
1569644100,376.0
1569645000,376.0
1569645900,376.0
1569646800,374.0
1569647700,374.0
1569648600,374.0
1569649500,374.0
1569650400,378.0
1569651300,378.0
1569652200,378.0
1569653100,378.0
1569654000,396.0
1569654900,396.0
1569655800,396.0
1569656700,396.0
1569657600,421.0
1569658500,421.0
1569659400,421.0
1569660300,421.0
1569661200,438.99999999999994
1569662100,438.99999999999994
1569663000,438.99999999999994
1569663900,438.99999999999994
1569664800,467.0
1569665700,467.0
1569666600,467.0
1569667500,467.0
1569668400,500.0
1569669300,500.0
1569670200,500.0
1569671100,500.0
1569672000,533.0
1569672900,533.0
1569673800,533.0
1569674700,533.0
1569675600,540.0
1569676500,540.0
1569677400,540.0
1569678300,540.0
1569679200,541.0
1569680100,541.0
1569681000,541.0
1569681900,541.0
1569682800,545.0
1569683700,545.0
1569684600,545.0
1569685500,545.0
1569686400,526.0
1569687300,526.0
1569688200,526.0
1569689100,526.0
1569690000,505.0
1569690900,505.0
1569691800,505.0
1569692700,505.0
1569693600,490.00000000000006
1569694500,490.00000000000006
1569695400,490.00000000000006
1569696300,490.00000000000006
1569697200,473.00000000000006
1569698100,473.00000000000006
1569699000,473.00000000000006
1569699900,473.00000000000006
1569700800,463.99999999999994
1569701700,463.99999999999994
1569702600,463.99999999999994
1569703500,463.99999999999994
1569704400,461.00000000000006
1569705300,461.00000000000006
1569706200,461.00000000000006
1569707100,461.00000000000006
1569708000,455.0
1569708900,455.0
1569709800,455.0
1569710700,455.0
1569711600,451.99999999999994
1569712500,451.99999999999994
1569713400,451.99999999999994
1569714300,451.99999999999994
1569715200,433.0
1569716100,433.0
1569717000,433.0
1569717900,433.0
1569718800,438.99999999999994
1569719700,438.99999999999994
1569720600,438.99999999999994
1569721500,438.99999999999994
1569722400,430.99999999999994
1569723300,430.99999999999994
1569724200,430.99999999999994
1569725100,430.99999999999994
1569726000,440.00000000000006
1569726900,440.00000000000006
1569727800,440.00000000000006
1569728700,440.00000000000006
1569729600,428.0
1569730500,428.0
1569731400,428.0
1569732300,428.0
1569733200,423.00000000000006
1569734100,423.00000000000006
1569735000,423.00000000000006
1569735900,423.00000000000006
1569736800,411.00000000000006
1569737700,411.00000000000006
1569738600,411.00000000000006
1569739500,411.00000000000006
1569740400,434.0
1569741300,434.0
1569742200,434.0
1569743100,434.0
1569744000,450.0
1569744900,450.0
1569745800,450.0
1569746700,450.0
