,COP100_heat
1573516800,276.0
1573517700,276.0
1573518600,276.0
1573519500,276.0
1573520400,278.0
1573521300,278.0
1573522200,278.0
1573523100,278.0
1573524000,283.0
1573524900,283.0
1573525800,283.0
1573526700,283.0
1573527600,281.0
1573528500,281.0
1573529400,281.0
1573530300,281.0
1573531200,286.0
1573532100,286.0
1573533000,286.0
1573533900,286.0
1573534800,287.0
1573535700,287.0
1573536600,287.0
1573537500,287.0
1573538400,286.0
1573539300,286.0
1573540200,286.0
1573541100,286.0
1573542000,287.0
1573542900,287.0
1573543800,287.0
1573544700,287.0
1573545600,292.0
1573546500,292.0
1573547400,292.0
1573548300,292.0
1573549200,293.0
1573550100,293.0
1573551000,293.0
1573551900,293.0
1573552800,298.0
1573553700,298.0
1573554600,298.0
1573555500,298.0
1573556400,304.0
1573557300,304.0
1573558200,304.0
1573559100,304.0
1573560000,308.0
1573560900,308.0
1573561800,308.0
1573562700,308.0
1573563600,313.0
1573564500,313.0
1573565400,313.0
1573566300,313.0
1573567200,312.0
1573568100,312.0
1573569000,312.0
1573569900,312.0
1573570800,311.0
1573571700,311.0
1573572600,311.0
1573573500,311.0
1573574400,305.0
1573575300,305.0
1573576200,305.0
1573577100,305.0
1573578000,308.0
1573578900,308.0
1573579800,308.0
1573580700,308.0
1573581600,304.0
1573582500,304.0
1573583400,304.0
1573584300,304.0
1573585200,307.0
1573586100,307.0
1573587000,307.0
1573587900,307.0
1573588800,306.0
1573589700,306.0
1573590600,306.0
1573591500,306.0
1573592400,302.0
1573593300,302.0
1573594200,302.0
1573595100,302.0
1573596000,303.0
1573596900,303.0
1573597800,303.0
1573598700,303.0
1573599600,303.0
1573600500,303.0
1573601400,303.0
1573602300,303.0
1573603200,302.0
1573604100,302.0
1573605000,302.0
1573605900,302.0
1573606800,303.0
1573607700,303.0
1573608600,303.0
1573609500,303.0
1573610400,305.0
1573611300,305.0
1573612200,305.0
1573613100,305.0
1573614000,304.0
1573614900,304.0
1573615800,304.0
1573616700,304.0
1573617600,303.0
1573618500,303.0
1573619400,303.0
1573620300,303.0
1573621200,303.0
1573622100,303.0
1573623000,303.0
1573623900,303.0
1573624800,303.0
1573625700,303.0
1573626600,303.0
1573627500,303.0
1573628400,300.0
1573629300,300.0
1573630200,300.0
1573631100,300.0
1573632000,304.0
1573632900,304.0
1573633800,304.0
1573634700,304.0
1573635600,304.0
1573636500,304.0
1573637400,304.0
1573638300,304.0
1573639200,306.0
1573640100,306.0
1573641000,306.0
1573641900,306.0
1573642800,306.0
1573643700,306.0
1573644600,306.0
1573645500,306.0
1573646400,306.0
1573647300,306.0
1573648200,306.0
1573649100,306.0
1573650000,306.0
1573650900,306.0
